study,arm,is_control,control_arm,metric,n,mean,sd,min,max,ci95_low,ci95_high
codeswitch,CS-W50,0,CS-B,ppl_favorable_vs_control,3,-0.022210157500073723,0.006334716654473123,-0.029511852542320725,-0.0181817226049845,-0.037946466034703294,-0.0064738489654441525
codeswitch,CS-W50,0,CS-B,delta_context_trained_vs_control,3,-0.03902412878142453,0.020975622898394983,-0.0606060918172199,-0.0187125953038533,-0.09113046465078127,0.013082207087932216
codeswitch,CS-W50,0,CS-B,delta_context_heldout_vs_control,3,-0.08804360946019486,0.03492975970964675,-0.1268338533242542,-0.0590789604187012,-0.1748139428173056,-0.0012732761030841144
codeswitch,CS-W50,0,CS-B,R4_within_concept_ratio,3,0.9719353627229189,0.012088827633839906,0.9599474147537188,0.9841226057293284,0.9419050501068477,1.00196567533899
codeswitch,CS-W50,0,CS-B,R4_shared_concept_ratio,3,0.9699173417085895,0.01258670270854464,0.9572487801330908,0.9824205564219968,0.9386502388437037,1.0011844445734752
codeswitch,CS-W50,0,CS-B,R4_effective_rank_ratio,3,0.9251034187688377,0.011684117777034143,0.912171549377996,0.9349000701696036,0.8960784611703748,0.9541283763673006
guard_sweep,A,0,B,delta_R1_concept_dominance_vs_control,3,0.012752376904914006,0.0029151505088783674,0.01016592123618959,0.015911291689090223,0.005510741590381088,0.019994012219446924
guard_sweep,A,0,B,delta_R2_mean_alignment_margin_vs_control,3,0.0073602711438266995,0.00225823789430094,0.004833989175539399,0.0091829324133815,0.0017504972284900795,0.01297004505916332
guard_sweep,A,0,B,delta_R3_weak_language_tail_vs_control,3,0.025746746522049262,0.008100413091313234,0.018665711791317596,0.034579796608763896,0.005624204881161988,0.04586928816293653
guard_sweep,A,0,B,delta_R4_within_concept_ratio_vs_control,3,0.038951510955696676,0.008943632661298289,0.02933372687644442,0.047018045890715565,0.01673429578172363,0.061168726129669726
guard_sweep,A,0,B,delta_R4_shared_concept_ratio_vs_control,3,0.04149916976524537,0.0104390376979663,0.030649893789852167,0.05147280941999799,0.015567162545343936,0.0674311769851468
guard_sweep,A,0,B,delta_R4_effective_rank_ratio_vs_control,3,-0.007971939160863398,0.009798632967032523,-0.019216180748543588,-0.0012596434448071125,-0.032313092837868915,0.016369214516142122
guard_sweep,A,0,B,delta_lfs_vs_control,3,-0.012752376904914042,0.002915150508878337,-0.015911291689090223,-0.010165921236189646,-0.019994012219446883,-0.0055107415903812
guard_sweep,A,0,B,delta_effective_rank_vs_control,3,-0.326702172182614,0.40156285818956744,-0.7875082667995343,-0.05162210113374499,-1.3242396118495683,0.6708352674843404
guard_sweep,A,0,B,delta_mexa_vs_control,3,0.027037037037036932,0.008981004187394233,0.0188888888888887,0.0366666666666666,0.004726985845743287,0.049347088228330574
guard_sweep,A,0,B,delta_aar10_vs_control,3,0.004965085536241486,0.0052879967443442265,1.9616136948258367e-05,0.0105393777290979,-0.008171026595996975,0.018101197668479948
guard_sweep,A,0,B,ppl_favorable_vs_control,3,0.3922499082537403,0.033168169350222966,0.36707243529949785,0.4298326159994267,0.30985560794113,0.4746442085663506
guard_sweep,A,0,B,delta_context_trained_vs_control,3,-0.007309426400396501,0.0036231247953008856,-0.0108273581663767,-0.0035895550251007,-0.016309767338781124,0.0016909145379881236
guard_sweep,A,0,B,delta_context_heldout_vs_control,3,-0.028334283034006664,0.0018019850900131314,-0.0301567196846008,-0.026553470691045,-0.0328106621521201,-0.02385790391589323
guard_sweep,A,0,B,R4_within_concept_ratio,3,1.0,0.0,1.0,1.0,1.0,1.0
guard_sweep,A,0,B,R4_shared_concept_ratio,3,1.0,0.0,1.0,1.0,1.0,1.0
guard_sweep,A,0,B,R4_effective_rank_ratio,3,1.0,0.0,1.0,1.0,1.0,1.0
guard_sweep,B,1,B,delta_R1_concept_dominance_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_R2_mean_alignment_margin_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_R3_weak_language_tail_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_R4_within_concept_ratio_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_R4_shared_concept_ratio_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_R4_effective_rank_ratio_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_lfs_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_effective_rank_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_mexa_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_aar10_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,ppl_favorable_vs_control,3,0.0,0.0,-0.0,-0.0,0.0,0.0
guard_sweep,B,1,B,delta_context_trained_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,delta_context_heldout_vs_control,3,0.0,0.0,0.0,0.0,0.0,0.0
guard_sweep,B,1,B,R4_within_concept_ratio,3,0.9610484890443033,0.00894363266129829,0.9529819541092844,0.9706662731235556,0.9388312738703303,0.9832657042182763
guard_sweep,B,1,B,R4_shared_concept_ratio,3,0.9585008302347546,0.0104390376979663,0.948527190580002,0.9693501062101478,0.9325688230148532,0.984432837454656
guard_sweep,B,1,B,R4_effective_rank_ratio,3,1.0079719391608633,0.009798632967032523,1.0012596434448071,1.0192161807485436,0.9836307854838577,1.0323130928378688
guard_sweep,E_cvp10,0,B,delta_R1_concept_dominance_vs_control,3,0.3473780163909039,0.005051243864941516,0.3415782767128332,0.3508139173233179,0.33483003101475517,0.3599260017670526
guard_sweep,E_cvp10,0,B,delta_R2_mean_alignment_margin_vs_control,3,-0.04588506356778976,0.0042639504368830496,-0.0497305961075135,-0.0412995575542354,-0.05647730364908524,-0.03529282348649428
guard_sweep,E_cvp10,0,B,delta_R3_weak_language_tail_vs_control,3,-0.2562127542880268,0.012659355844999382,-0.2700269738633654,-0.24516622502975907,-0.28766033754905673,-0.2247651710269969
guard_sweep,E_cvp10,0,B,delta_R4_within_concept_ratio_vs_control,3,0.011475361864202468,0.02342087140577211,-0.008231735586248012,0.03736823569881276,-0.046705308036931,0.06965603176533594
guard_sweep,E_cvp10,0,B,delta_R4_shared_concept_ratio_vs_control,3,0.009017382740423815,0.025613196216797085,-0.01171813044772807,0.03764889278383576,-0.054609323900182714,0.07264408938103034
guard_sweep,E_cvp10,0,B,delta_R4_effective_rank_ratio_vs_control,3,1.844309278194521,0.04299887841974833,1.7956151207857407,1.8770565248164581,1.7374941427490567,1.9511244136399852
guard_sweep,E_cvp10,0,B,delta_lfs_vs_control,3,-0.3473780163909039,0.005051243864941535,-0.3508139173233179,-0.34157827671283314,-0.35992600176705264,-0.3348300310147551
guard_sweep,E_cvp10,0,B,delta_effective_rank_vs_control,3,75.58259479961166,1.7621593313346635,73.58703428703902,76.9246266927938,71.20514835053048,79.96004124869283
guard_sweep,E_cvp10,0,B,delta_mexa_vs_control,3,-0.0159259259259259,0.010905505084692938,-0.0222222222222222,-0.0033333333333333,-0.0430167023724966,0.011164850520644802
guard_sweep,E_cvp10,0,B,delta_aar10_vs_control,3,-0.15816798226700882,0.013970360219574287,-0.1734980084002018,-0.1461539821078379,-0.19287228093518993,-0.1234636835988277
guard_sweep,E_cvp10,0,B,ppl_favorable_vs_control,3,-0.05353965953893541,0.02312262186503574,-0.07755932969468522,-0.03143293255710485,-0.11097943650841344,0.003900117430542631
guard_sweep,E_cvp10,0,B,delta_context_trained_vs_control,3,-0.026257539060380666,0.013766315436088602,-0.0421038393179575,-0.0172469530502955,-0.06045496238701906,0.007939884266257722
guard_sweep,E_cvp10,0,B,delta_context_heldout_vs_control,3,-0.014396213293075534,0.02359111937876671,-0.0401040665308634,0.0062596762180329,-0.07299980260427394,0.04420737601812287
guard_sweep,E_cvp10,0,B,R4_within_concept_ratio,3,0.9725238509085058,0.019767072814683075,0.951265504313822,0.9903501898080972,0.9234197198786368,1.0216279819383747
guard_sweep,E_cvp10,0,B,R4_shared_concept_ratio,3,0.9675182129751785,0.020296302225932757,0.945907063466386,0.9861760833638378,0.9170994032066567,1.0179370227437001
guard_sweep,E_cvp10,0,B,R4_effective_rank_ratio,3,2.8522812173553844,0.049262294002709456,2.79905511407498,2.8962727055650017,2.7299068950559215,2.9746555396548473
guard_sweep,E_cvp100,0,B,delta_R1_concept_dominance_vs_control,3,0.3480246185809361,0.0034324580971743083,0.3441061678210126,0.35049966982337355,0.3394979199777426,0.3565513171841296
guard_sweep,E_cvp100,0,B,delta_R2_mean_alignment_margin_vs_control,3,-0.05064495402817976,0.0027796352576092013,-0.052655669200165706,-0.0474729999088647,-0.057549950796517625,-0.0437399572598419
guard_sweep,E_cvp100,0,B,delta_R3_weak_language_tail_vs_control,3,-0.2695534944365991,0.0030537029906925004,-0.272993023099136,-0.2671611723828601,-0.2771393131962631,-0.2619676756769351
guard_sweep,E_cvp100,0,B,delta_R4_within_concept_ratio_vs_control,3,0.05650370824533383,0.015249997339101954,0.039675048398473134,0.06940797966744883,0.01862061475117848,0.09438680173948918
guard_sweep,E_cvp100,0,B,delta_R4_shared_concept_ratio_vs_control,3,0.052419289124431646,0.01312853441645662,0.03730866761305418,0.061028285829067386,0.019806201680499645,0.08503237656836365
guard_sweep,E_cvp100,0,B,delta_R4_effective_rank_ratio_vs_control,3,1.7819003531080313,0.09788092529698933,1.6689791666626865,1.84251784130491,1.5387506553167631,2.0250500508992992
guard_sweep,E_cvp100,0,B,delta_lfs_vs_control,3,-0.3480246185809361,0.00343245809717436,-0.3504996698233736,-0.34410616782101255,-0.3565513171841297,-0.3394979199777425
guard_sweep,E_cvp100,0,B,delta_effective_rank_vs_control,3,73.02498228176475,4.011308950620107,68.39730059068468,75.50917899558274,63.0603384440477,82.9896261194818
guard_sweep,E_cvp100,0,B,delta_mexa_vs_control,3,-0.024814814814814734,0.003394500514782058,-0.0277777777777777,-0.0211111111111111,-0.03324722155614075,-0.016382408073488716
guard_sweep,E_cvp100,0,B,delta_aar10_vs_control,3,-0.1678166242523326,0.008189191004341161,-0.1771404817700386,-0.1617901039620241,-0.18815970245494304,-0.14747354604972215
guard_sweep,E_cvp100,0,B,ppl_favorable_vs_control,3,-0.050493307255415336,0.01824968023983979,-0.06282450537743792,-0.029528823320435698,-0.09582802616658617,-0.0051585883442445
guard_sweep,E_cvp100,0,B,delta_context_trained_vs_control,3,-0.030470101767116065,0.010687474207944301,-0.0404892961184183,-0.0192208000024159,-0.05701925949042949,-0.003920944043802638
guard_sweep,E_cvp100,0,B,delta_context_heldout_vs_control,3,-0.023238290680779265,0.01852725720452875,-0.0407881963253021,-0.0038680620988209,-0.06926254899784713,0.0227859676362886
guard_sweep,E_cvp100,0,B,R4_within_concept_ratio,3,1.0175521972896373,0.009951010548947472,1.0103413215220287,1.0289052195675188,0.9928325167149715,1.042271877864303
