model,layer,n_axes,share_q05,share_q25,share_q50,share_q75,share_q95,fraction_share_gt_0_50,fraction_share_gt_0_75,fraction_share_gt_0_90,fraction_language_heavy_by,gini_ss_language,top5_raw_variance_ss_language_fraction,spearman_language_share_vs_raw_variance,median_share_top5_raw_variance,median_share_rest,median_share_top5_minus_rest,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,gaussian_null_mean
Mistral-7B-v0.3,0,4096,0.8296911460972933,0.9002168245557739,0.9311793254450105,0.9523147681660513,0.9722670136619679,1.0,0.9892578125,0.7509765625,1.0,0.3582254264854572,0.17995208155666326,0.8309096521029413,0.9725773259215924,0.9288330076883712,0.043744318233221224,13,300,4096,0.926541679794212,0.4115487045840325,0.2047628748322749,0.0385852090032154
Mistral-7B-v0.3,2,4096,0.4457631845500271,0.6482741590422312,0.77812613468216,0.8682934499974503,0.9351530349852064,0.91748046875,0.5693359375,0.1552734375,1.0,0.9989038448274103,0.9989085728493107,-0.19080012311340114,0.5615350459608014,0.7858104591596058,-0.2242754131988044,13,300,4096,0.749392110380016,0.9981214867071724,0.999354269836646,0.0385852090032154
Mistral-7B-v0.3,8,4096,0.464949033221171,0.6253831011979065,0.7175954855133909,0.7923268898915329,0.8716158097383351,0.921875,0.3857421875,0.019287109375,1.0,0.9800148186397601,0.972499817841024,0.576179065276366,0.7929411454004089,0.7149847254303476,0.07795641997006131,13,300,4096,0.7147293559082801,0.9478720669799195,0.9728418643231944,0.0385852090032154
Mistral-7B-v0.3,24,4096,0.7235473566825247,0.838806052127548,0.8894788949897496,0.9232455029947819,0.9524256505625476,0.99267578125,0.9287109375,0.42626953125,1.0,0.5117459835232991,0.3899123104974064,0.5015153774614298,0.8424522872807384,0.8901230100407612,-0.04767072276002282,13,300,4096,0.8761636879954061,0.6165667460642996,0.3568070098106164,0.0385852090032154
Mistral-7B-v0.3,32,4096,0.7604882085880422,0.865503387241338,0.9150996170654921,0.9485158157838987,0.988050026041151,0.998046875,0.958984375,0.598388671875,1.0,0.8508601274115697,0.7651089591021127,0.8561663573325117,0.9927652662960575,0.9117612034399214,0.08100406285613615,13,300,4096,0.9095009269253396,0.176228801643393,0.2545127599117197,0.0385852090032154
OLMo-2-0425-1B,0,2048,0.8929825835801033,0.9387777898822076,0.9580223152523567,0.9710861150921429,0.9825072336578777,1.0,0.9990234375,0.93798828125,1.0,0.30802998975272367,0.13309096548518945,0.9545697820092218,0.98469005895481,0.9564681665678786,0.028221892386931402,13,300,2048,0.954619202847436,0.4057276074655873,0.2126052318769465,0.0385852090032154
OLMo-2-0425-1B,4,2048,0.8103564867798617,0.891336861572131,0.9260044258793241,0.9475568631533163,0.968923991336005,1.0,0.98681640625,0.70166015625,1.0,0.3748522204841076,0.21357198347837922,0.8261401606648056,0.9692623913825984,0.9241729553511682,0.04508943603143023,13,300,2048,0.919467716320266,0.7835998949277891,0.2495737536706141,0.0385852090032154
OLMo-2-0425-1B,9,2048,0.6839362283327953,0.8065933392468838,0.867599376485092,0.9046701016652469,0.9448474757442905,0.9951171875,0.87744140625,0.28125,1.0,0.4557283698376795,0.30781368022434596,0.6712346420027953,0.9215625892096818,0.8651921965690618,0.05637039264062005,13,300,2048,0.8555304914009325,0.7076669621155083,0.27813023996282,0.0385852090032154
OLMo-2-0425-1B,12,2048,0.7847939223525332,0.8775027187609562,0.9146913834204506,0.9412993795389761,0.9641529814943639,0.99755859375,0.974609375,0.6142578125,1.0,0.39077924936244157,0.23945684319679866,0.6529434571541148,0.9373238747632012,0.9144848686772552,0.022839006085946023,13,300,2048,0.904420775832538,0.6060124573498162,0.2035500112756893,0.0385852090032154
OLMo-2-0425-1B,16,2048,0.7562627301190311,0.8526881331243084,0.9024143106582863,0.9405021246603453,0.9761507415941088,1.0,0.955078125,0.51611328125,1.0,0.9059487982561643,0.8717701744536398,0.8094957715188318,0.980699949724611,0.8991971295760706,0.08150282014854049,13,300,2048,0.9001903125223955,0.5143888906941392,0.2970457335962003,0.0385852090032154
OLMo-2-1124-7B,0,4096,0.8800935112993911,0.9312997456388383,0.9538453834824068,0.9689841476315848,0.9820318797031146,1.0,0.9990234375,0.9072265625,1.0,0.342064488392519,0.1587434264015917,0.952774496204283,0.9848587496534256,0.9523369548039592,0.03252179484946638,13,300,4096,0.950174796066262,0.3839441828242655,0.2640061648370361,0.0385852090032154
OLMo-2-1124-7B,8,4096,0.6761272419661556,0.7958128268235062,0.8535726513331301,0.8951468598858021,0.9365502365664865,0.995849609375,0.863037109375,0.220458984375,1.0,0.4128279237117918,0.2639424993326388,0.8313621877643094,0.9383889283933824,0.8500165946484383,0.08837233374494413,13,300,4096,0.8478119225422205,0.6752593000516811,0.1876451336487912,0.0385852090032154
OLMo-2-1124-7B,12,4096,0.49925109634757225,0.65672021760393,0.7442056249705727,0.8170371141563343,0.88697201022086,0.948974609375,0.48095703125,0.025634765625,1.0,0.46273655768942046,0.3119699115018831,0.7725241929330382,0.8790141941038631,0.7373350681348082,0.14167912596905485,13,300,4096,0.7420740191771581,0.6702036911585529,0.1807356487038432,0.0385852090032154
OLMo-2-1124-7B,24,4096,0.7309193572362153,0.8358151383732646,0.8811985915702363,0.9145304655788863,0.9472539585116275,0.998291015625,0.93359375,0.359130859375,1.0,0.34711916593193615,0.19732391055521073,0.6980536477527893,0.91578829181345,0.880369132368059,0.03541915944539098,13,300,4096,0.8725537114579328,0.4071464557681678,0.152061314224203,0.0385852090032154
