study,arm,is_control,control_arm,n_seeds,source_checkpoint_count,source_checkpoints,trained_lfs,trained_mexa,trained_aar10,heldout_lfs,heldout_mexa,heldout_aar10,cvp_vs_frozen,ppl_geomean_ratio_vs_control,context_trained,context_heldout,delta_mexa_vs_control,delta_aar10_vs_control,delta_context_trained_vs_control,delta_context_heldout_vs_control,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank,control_R1_concept_dominance,control_R2_mean_alignment_margin,control_R3_weak_language_tail,control_R4_within_concept_ratio,control_R4_shared_concept_ratio,control_R4_effective_rank_ratio,control_lfs,control_effective_rank,delta_R1_concept_dominance_vs_control,delta_R2_mean_alignment_margin_vs_control,delta_R3_weak_language_tail_vs_control,delta_R4_within_concept_ratio_vs_control,delta_R4_shared_concept_ratio_vs_control,delta_R4_effective_rank_ratio_vs_control,delta_lfs_vs_control,delta_effective_rank_vs_control,ppl_favorable_vs_control,analysis_unit_key
guard_sweep,G_tail,0,B,3,3,ckpt_armG_tail_seed0|ckpt_armG_tail_seed1|ckpt_armG_tail_seed2,0.18608122884454592,0.3996296296296296,-0.2514117362184657,0.22340352582135367,0.49499999999999994,-0.21876891922632544,1.0169902976214207,1.0390757987328438,0.28750480989615124,0.4973524811532762,-0.0177777777777778,-0.15622546296152803,-0.0322192380163404,-0.023507183525297303,0.7249487030899332,-0.011894270453454966,-0.469182873614772,1.0218262788547685,1.0148766769040647,2.720498440453943,0.27505129691006674,718428.4781833339,1893465.7391615065,1381705.7826551597,0.17989495146818255,0.4741250348461305,0.34598001368568704,15841.822465086436,11125.78989593579,7318.363846198532,4716.032569150646,188.3065851967566,111.49015716013689,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.3467788160686103,-0.04499877238045857,-0.24844098522479582,0.060777789810465145,0.05637584666930995,1.7125265012930797,-0.34677881606861033,70.18193649036101,-0.0380886345998031,guard_sweep:G_tail
original,A,0,B,3,1,Qwen3-0.6B-Base,0.44456918453047783,0.4444444444444444,-0.0902211877206961,0.5001732209757385,0.5662499999999999,-0.0921492252964526,1.0,0.6757816969754442,0.2994831005732218,0.5661796530087789,0.027037037037036932,0.004965085536241486,-0.0004130531240392338,0.009188526206546399,0.3909222639262369,0.0404647730708303,-0.1949951418679269,1.0,1.0,1.0,0.609077736073763,1464256.6155364737,939798.7764326446,1589544.6080308824,0.3666507951563685,0.2353262160538472,0.3980229887897841,15503.4400591473,10962.701330249902,7493.574007113292,4540.738728897399,190.9772906196989,40.981518497593264,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.012752376904914006,0.0073602711438266995,0.025746746522049262,0.038951510955696676,0.04149916976524537,-0.007971939160863398,-0.012752376904914042,-0.326702172182614,0.3922499082537403,Qwen3-0.6B-Base
original,B,1,B,3,3,ckpt_armB_seed0|ckpt_armB_seed1|ckpt_armB_seed2,0.46820255558436136,0.4174074074074074,-0.09518627325693763,0.5225843039944482,0.55375,-0.0877852016322625,0.9552878047051075,1.0,0.2998961536972611,0.5569911268022325,0.0,0.0,0.0,0.0,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,1534764.2784132485,933372.1927138912,1525463.5288728608,0.38430595913793275,0.2337169953710664,0.38197704549100076,14899.557643832435,10507.75832666018,7330.311438761892,4391.799317172256,187.39071838623553,41.30822066977588,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,original:B
original,C,0,B,3,3,ckpt_armC_seed0|ckpt_armC_seed1|ckpt_armC_seed2,0.3607521597902345,0.43,-0.13763452776604224,0.447363145847439,0.5351388888888889,-0.16094822977902368,0.8857717118133613,1.0305731728776155,0.29462363455030655,0.5461631646862736,0.012592592592592567,-0.042448254509104576,-0.0052725191469545326,-0.010827962115958835,0.44213870856274734,0.017017215350949102,-0.2830497516980553,0.965297808666179,0.9328840544763425,1.0891796004136396,0.5578612914372526,1312273.2589437673,1040009.7272210506,1641317.0138351822,0.32859406524032625,0.26041910236905313,0.41098683239062045,14965.436715882344,10226.929264976723,4039.375732033984,4738.507450905622,174.04132335427494,44.63623394155281,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.06396882154142446,-0.016087286576054502,-0.06230786330807913,0.0042493196218756175,-0.025616775758412185,0.08120766125277619,-0.06396882154142447,3.328013271776937,-0.03009857117032982,original:C
original,D,0,B,3,3,ckpt_armD_seed0|ckpt_armD_seed1|ckpt_armD_seed2,0.14950116333423197,0.49999999999999994,-0.18001610342051003,0.21053497435416682,0.5644444444444444,-0.1834480095809946,0.2159329498229984,1.0759763881598285,0.30507032208972507,0.5624347196684943,0.08259259259259247,-0.08482983016357237,0.005174168392464001,0.005443592866261834,0.7459309850444252,0.015998053682250202,-0.4340393279270321,0.33999615346702855,0.302555169605578,5.099147920970666,0.25406901495557466,654927.2990375339,1922602.9016647504,1416069.7992977158,0.16399421550419013,0.48142099901461094,0.3545847854811989,5271.109985616724,3316.821960309055,2187.937280266563,1954.2880253076685,108.72670847593866,208.97082484522363,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.36776109802310236,-0.0171064482447534,-0.21329743953705593,-0.6210523355772748,-0.6559456606291766,4.091175981809804,-0.3677610980231025,167.66260417544774,-0.0730553509364521,original:D
original,E,0,B,3,3,ckpt_armE_seed0|ckpt_armE_seed1|ckpt_armE_seed2,0.17789830346321478,0.41777777777777775,-0.2425127200161417,0.2182708408901123,0.4990277777777778,-0.2187123341273036,0.8566077380488313,1.0612429585405587,0.29732689371815435,0.5554015901353625,0.00037037037037033316,-0.14732644675920403,-0.0025692599791067336,-0.0015895366668699665,0.7323835508242446,-0.008937497832473466,-0.47523036285709935,0.8767268537677492,0.8684321475340638,3.086245122018782,0.26761644917575533,699266.8168610424,1913647.1146910815,1380686.0684478756,0.17509685918996454,0.4791784642155152,0.34572467659452016,13592.282225633098,9520.362259003461,6045.107099695654,4071.9199666296386,173.38458363876165,126.47901155611969,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.3542136638029217,-0.04204199975947707,-0.25448847446712325,-0.08432163527655408,-0.0900686827006908,2.0782731828579184,-0.3542136638029217,85.1707908863438,-0.059338971919568384,original:E
original,F,0,B,3,3,ckpt_armF_seed0|ckpt_armF_seed1|ckpt_armF_seed2,0.1106414329530559,0.4762962962962963,-0.23822494927379814,0.16776101172705024,0.5427777777777778,-0.24633867303418808,0.9424025910586845,1.0661502956161353,0.29372446846078937,0.5520823390395554,0.0588888888888888,-0.1430386760168605,-0.0061716852364716674,-0.004908787762677167,0.7820065133801218,-0.0108254223993604,-0.5404834327127528,1.0055036001120201,0.9871631731187077,3.0134927892181906,0.21799348661987827,575262.6591327178,2064034.4989433081,1354302.841923974,0.1440461386049473,0.5168355616344421,0.3391182997606104,15588.764793593518,10821.975031122172,3921.987913243367,4766.789762471348,174.57009239657802,123.4975104837092,0.37816988702132287,0.0331045019270036,-0.2207418883899762,0.9610484890443033,0.9585008302347546,1.0079719391608635,0.6218301129786771,41.30822066977588,0.40383662635879886,-0.043929924326364,-0.3197415443227767,0.04445511106771679,0.028662342883953123,2.0055208500573274,-0.40383662635879886,82.18928981393331,-0.06401494542169943,original:F
wordalign,WA-A,0,WA-B,3,1,Qwen3-0.6B-Base,0.44456918453047783,0.4444444444444444,-0.0902211877206961,0.5001732209757385,0.5662499999999999,-0.0921492252964526,1.0,0.5336668080199917,0.3124146215120951,0.4925253816445669,0.04962962962962956,0.005153362121846867,-0.0033315580421023664,-0.008358114295535566,0.3909222639262369,0.0404647730708303,-0.1949951418679269,1.0,1.0,1.0,0.609077736073763,1464256.6155364737,939798.7764326446,1589544.6080308824,0.3666507951563685,0.2353262160538472,0.3980229887897841,15503.4400591473,10962.701330249902,7493.574007113292,4540.738728897399,190.9772906196989,40.981518497593264,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,38.44520622831623,0.013229568764105712,0.004229010389375669,-0.00021039312227857007,-0.011473803377777925,-0.013285528142907177,0.06188917254069026,-0.013229568764105748,2.5363122692770355,0.6285885726791591,Qwen3-0.6B-Base
wordalign,WA-B,1,WA-B,3,3,ckpt_armWA-B_seed0|ckpt_armWA-B_seed1|ckpt_armWA-B_seed2,0.48416213637378486,0.3948148148148148,-0.09537454984254302,0.50660002182908,0.545,-0.08688827720470722,1.0067479813944213,1.0,0.31574617955419754,0.5008834959401024,0.0,0.0,0.0,0.0,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,1568816.1134193644,952110.3164712852,1472673.5701093506,0.3928325604515637,0.23840903357153564,0.3687584059769006,15681.32348206512,11108.346607295223,7737.9757473640175,4572.976874769895,192.9537326575236,38.44520622831623,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,38.44520622831623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wordalign:WA-B
wordalign,WA-C,0,WA-B,3,3,ckpt_armWA-C_seed0|ckpt_armWA-C_seed1|ckpt_armWA-C_seed2,0.49318043253228777,0.4877777777777777,-0.08489581839077999,0.5323124864487762,0.6006944444444444,-0.08673496319291489,0.050677200714450164,1.1666712865810944,0.3017847645282745,0.48712200588650173,0.09296296296296291,0.010478731451762965,-0.013961415025922934,-0.013761490053600667,0.3464168628552553,0.041640441302750165,-0.21451421073203555,0.08580979682016664,0.05848168209865686,5.55527315199287,0.6535831371447447,1565846.136228033,829618.2866955074,1598135.5770764593,0.39208887625902267,0.20773695079514906,0.4001741729458282,1330.3470414890626,641.1172141381977,212.2115455311231,689.2298273508646,38.776267777426916,227.663529437579,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,38.44520622831623,-0.03127583230687594,0.0054046786212955346,-0.019729461986387198,-0.9256640065576113,-0.9548038460442503,4.6171623245335605,0.03127583230687592,189.21832320926282,-0.15382774793050735,wordalign:WA-C
wordalign,WA-D,0,WA-B,3,3,ckpt_armWA-D_seed0|ckpt_armWA-D_seed1|ckpt_armWA-D_seed2,0.4924210448048161,0.4892592592592592,-0.09552479825086059,0.5304584193892253,0.6020833333333333,-0.0855797102558426,0.05244730367884826,1.1763199152142336,0.2987793388631608,0.4857013885180155,0.09444444444444444,-0.0001502484083176006,-0.0169668406910366,-0.0151821074220869,0.34802267099395295,0.041640027545005766,-0.21101034663954302,0.0888084529964047,0.060612218167824604,5.485666216203985,0.651977329006047,1566590.6081484866,836200.1087149974,1590809.2831365147,0.39227529250513,0.20938504324794613,0.39833966424692385,1376.8365277753617,664.4736447378083,214.84353008728831,712.3628830375533,39.0391557854843,224.81093151098602,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,38.44520622831623,-0.029670024168178228,0.005404264863551132,-0.0162255978938947,-0.9226653503813732,-0.9526733099750825,4.547555388744676,0.02967002416817825,186.36572528266979,-0.1618362876082558,wordalign:WA-D
wordalign,WA-E,0,WA-B,3,3,ckpt_armWA-E_seed0|ckpt_armWA-E_seed1|ckpt_armWA-E_seed2,0.47871987531753746,0.4618518518518518,-0.09524446787933503,0.5196400149586452,0.5776388888888889,-0.10972236083277187,0.24545057979625784,1.08322791875177,0.3167478836907281,0.5013850949870216,0.06703703703703699,0.0001300819632079666,0.0010017041365306073,0.0005015990469190669,0.36353767675648224,0.0379327970242489,-0.20183286595995872,0.33834716314637325,0.29059607094708334,2.420388972976229,0.6364623232435177,1557583.7155132405,889641.8012650103,1546374.483221749,0.39001996081561513,0.22276687731996447,0.38721316186442034,5245.54496302233,3185.7179335369856,1300.9876487846125,2059.8270294853446,96.41186361245695,99.19121546739609,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,38.44520622831623,-0.014155018405648903,0.0016970343427942676,-0.007048117214310386,-0.6731266402314047,-0.7226894571958238,1.4822781455169194,0.014155018405648886,60.746009239079875,-0.07984070656443808,wordalign:WA-E
wordalign,WA-F,0,WA-B,3,3,ckpt_armWA-F_seed0|ckpt_armWA-F_seed1|ckpt_armWA-F_seed2,0.4975004299592772,0.4892592592592592,-0.08460166015558769,0.5334463575693176,0.6027777777777777,-0.07614217933223694,0.047242992217132164,1.1771567021743683,0.30988585326406687,0.4947421419620514,0.0944444444444444,0.0107728896869553,-0.005860326290130567,-0.006141353978051101,0.3448700179162099,0.042353171051852496,-0.20568932743446186,0.08362819729643207,0.0568863963408744,5.631831236569426,0.65512998208379,1588577.2264124772,836039.4359646225,1568983.3376229003,0.3977807558124191,0.2093448106882568,0.39287443349932394,1296.52474403978,623.6285728392273,201.70127041084575,672.8961712005527,38.5609155388378,230.80099599679352,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,38.44520622831623,-0.03282267724592127,0.006117408370397867,-0.010904578688813532,-0.9278456060813459,-0.9563991318020327,4.693720409110117,0.03282267724592125,192.35578976847728,-0.16265447279910275,wordalign:WA-F
wordalign,WA-G,0,WA-B,3,3,ckpt_armWA-G_seed0|ckpt_armWA-G_seed1|ckpt_armWA-G_seed2,0.4826445834833227,0.3944444444444444,-0.10401004511449068,0.5055088994858353,0.5451388888888888,-0.0931851498316973,1.0000773261522926,1.0075680540314238,0.31782205369737415,0.5037407318751017,-0.00037037037037033327,-0.008635495271947681,0.0020758741431765666,0.002857235934999234,0.3786425592699973,0.02852745285623523,-0.22380399890518496,1.0107181547070956,1.0118426098451498,0.9315490647440171,0.6213574407300028,1566973.3270304175,954845.7444435637,1471780.9285260204,0.3923711255584978,0.23909398648927369,0.3685348879522285,15669.60832819342,11092.528324952955,7699.225696954942,4577.080003240465,193.3955038627314,38.176295228222635,0.37769269516213116,0.036235762681454634,-0.19478474874564833,1.011473803377778,1.0132855281429072,0.9381108274593096,0.6223073048378688,38.44520622831623,0.0009498641078660534,-0.007708309825219401,-0.02901925015953662,-0.0007556486706824886,-0.001442918297757408,-0.0065617627152927405,-0.0009498641078660534,-0.26891100009359076,-0.007478472190193407,wordalign:WA-G
