checkpoint,arm,seed,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
ckpt_armCS-P25_s2000_seed1,CS-P25_s2000,1,acc31739c7fce0cc0be05e4d588cedaa5f96c7cd51459d4a248f15f20571bd93,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3833313017341867,0.0404481973692635,-0.2121268867918221,0.8946893137307697,0.8889880284937525,1.0651816659486444,False,0.6166686982658133,1542564.5470771326,958883.2342276588,1492152.21869521,0.3862591514115414,0.2401049765193455,0.3736358720691129,13870.76214698462,9745.710242544696,6674.330577620311,4125.051904439921,180.73380471284648,43.65276214637158
ckpt_armCS-P25_s2000_seed2,CS-P25_s2000,2,c987ea87fa6e266eb792c692e74104622fcb934b04d70e49f41588fa11077e7c,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3865467671805502,0.0398226023815762,-0.2224468965567197,0.8931315608811567,0.8863411164484485,1.0707794994292856,False,0.6134532328194497,1535535.152772997,967565.4433647572,1490499.403862245,0.3844989865717642,0.2422790072527938,0.373222006175442,13846.61161905368,9716.692936344589,6629.460927029408,4129.918682709092,179.79592577495268,43.88216986270493
ckpt_armCS-W10_s2000_seed0,CS-W10_s2000,0,fbd77eee5ae525d979d21458a974787184195a40d4dabb504a069eb82956891a,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3807114178912014,0.039802212904135,-0.20552403132858,0.8616769316950659,0.8554862613705834,1.117908631880549,False,0.6192885821087986,1541051.032859236,947370.4839910446,1505178.4831497218,0.3858801664811787,0.2372221764801292,0.3768976570386921,13358.956660884414,9378.44037553781,6422.349189747659,3980.516285346604,178.9571238351012,45.81359327603189
ckpt_armCS-W10_s2000_seed1,CS-W10_s2000,1,6baaedbf531eaaba08a06ab381bdb1b5a66f42890edcd734483ad91126a3f4f2,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3752882824774496,0.0399813962154483,-0.2055404625906393,0.904317864795072,0.8991142779964761,1.0817033214160874,True,0.6247117175225504,1564766.9785750674,940015.5229930796,1488817.4984318523,0.3918186544909524,0.2353804895315203,0.3728008559775272,14020.037811266471,9856.72129143865,6755.199949604546,4163.316519827822,181.7191128940281,44.32984467552146
ckpt_armCS-W10_s2000_seed2,CS-W10_s2000,2,85e768c86213a3a6523323110684836d3b1c48f09800849c4ef34bdd09c0741c,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3557030576800941,0.0376978065332853,-0.2095544580907897,0.872539543070434,0.8631328294112711,1.0888726792643326,False,0.6442969423199059,1636474.001063713,903463.5550129886,1453662.443923297,0.4097741388881494,0.2262278533185569,0.3639980077932936,13527.364505228246,9462.267417169303,6536.597287272265,4065.0970880589434,179.62365088096814,44.62365584679519
ckpt_armCS-W25_s2000_seed0,CS-W25_s2000,0,94305f19519bb75623b72c7e470dc2ec4fb5b5d14cafe2d28335a971df85644c,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3768183335279187,0.0400502620374531,-0.2168514699449493,0.8867752409787684,0.8766325731746387,1.0516567570098554,False,0.6231816664720813,1571121.1618171183,950007.5015330976,1472471.3366497818,0.3934097460479565,0.2378824873630554,0.368707766588988,13748.066794450237,9610.261076082006,6696.711457172626,4137.805718368232,181.3183458951416,43.09849084051833
ckpt_armCS-W25_s2000_seed1,CS-W25_s2000,1,601479e1f5407837bbbd68949271e2609a4cbcce15d22d85cd598bbca93554e4,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.373795967259569,0.0397587999093142,-0.2134276214276908,0.9130403563599392,0.9071636295348028,1.051807808619571,True,0.626204032740431,1586917.858523489,947268.7253263872,1459413.4161501226,0.3973652490293192,0.2371966960452693,0.3654380549254114,14155.266436408809,9944.963928255513,6886.242488212089,4210.302508153295,182.3967886781384,43.10468116485598
ckpt_armCS-W25_s2000_seed2,CS-W25_s2000,2,0539ce6d8e5e451707dabe5033cd5d8af7aa316c41763c9e6164a18f911f784a,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3775120889112913,0.0385956709805613,-0.2172271573949243,0.9066688880283968,0.8998063392724853,1.0581825951188988,True,0.6224879110887087,1567584.4887437157,950672.4296951776,1475343.081561108,0.392524160843278,0.238048985801076,0.3694268533556459,14056.486759041984,9864.30815250977,6742.854771849141,4192.178606532217,181.52184396902425,43.36592959569639
ckpt_armCS-W50_s2000_seed0,CS-W50_s2000,0,ceb424515bc6a95e4a92360e0082afe20c644093a27414e560e94391ee854e62,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3876495635690762,0.0472112129622959,-0.1915022012370632,0.9105927845797048,0.9016827527806152,1.017569982802051,True,0.6123504364309238,1545190.767541569,978185.8410352,1470223.391423232,0.386916758699311,0.2449383616374198,0.3681448796632691,14117.320654023482,9884.878713371443,6914.283776257666,4232.44194065204,182.3096412748752,41.70156307279792
ckpt_armCS-W50_s2000_seed1,CS-W50_s2000,1,9e3ca536db4f83d7d987da29734afaae71f85ca26365d8287aa5b6f266986987,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3782646310889195,0.0410433781182774,-0.2035239648972566,0.910094960285809,0.9005783598682984,1.0313494024686287,True,0.6217353689110805,1573643.9450226228,957407.0836147435,1462548.971362632,0.3940414525797835,0.2397353474596213,0.3662231999605951,14109.602664923084,9872.77158372247,6927.521691167201,4236.831081200617,182.6148322349259,42.266264614749865
ckpt_armCS-W50_s2000_seed2,CS-W50_s2000,2,5c019da2eda50da36db8384f04bcff0c02cc3db39394c250d1a0b81a138e1962,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3874015547516487,0.0409636802267272,-0.2138546465190125,0.8952913307327122,0.8841477741881243,1.0191123842155294,False,0.6125984452483513,1540362.855416035,974111.1321755633,1479126.0124084014,0.385707846408262,0.2439180519269739,0.370374101664764,13880.095481488825,9692.64798022964,6879.926364992631,4187.44750125918,182.1564158825985,41.76477302485509
