target,held_out_model,candidate,rho,n_models
alpha,bloom-1b7,rmfs_tau_1,-0.012967,13
alpha,bloom-1b7,rmfs_no_T,0.077240,13
alpha,bloom-1b7,rmfs_no_L,-0.054325,13
alpha,bloom-1b7,rmfs_no_K,0.015829,13
alpha,bloom-1b7,component_mean,-0.014349,13
alpha,bloom-7b1,q_T,-0.054913,13
alpha,bloom-7b1,q_L,0.121937,13
alpha,bloom-7b1,q_K,-0.035639,13
alpha,bloom-7b1,rmfs_tau_0.025,0.010643,13
alpha,bloom-7b1,rmfs_tau_0.05,0.009646,13
alpha,bloom-7b1,rmfs_tau_0.1,0.006456,13
alpha,bloom-7b1,rmfs_tau_0.2,-0.003263,13
alpha,bloom-7b1,rmfs_tau_0.5,-0.008721,13
alpha,bloom-7b1,rmfs_tau_1,-0.009191,13
alpha,bloom-7b1,rmfs_no_T,0.070317,13
alpha,bloom-7b1,rmfs_no_L,-0.052448,13
alpha,bloom-7b1,rmfs_no_K,0.013388,13
alpha,bloom-7b1,component_mean,-0.010751,13
alpha,salamandra-2b,q_T,-0.028644,13
alpha,salamandra-2b,q_L,0.207936,13
alpha,salamandra-2b,q_K,-0.042110,13
alpha,salamandra-2b,rmfs_tau_0.025,0.040127,13
alpha,salamandra-2b,rmfs_tau_0.05,0.040209,13
alpha,salamandra-2b,rmfs_tau_0.1,0.041681,13
alpha,salamandra-2b,rmfs_tau_0.2,0.034754,13
alpha,salamandra-2b,rmfs_tau_0.5,0.026036,13
alpha,salamandra-2b,rmfs_tau_1,0.024091,13
alpha,salamandra-2b,rmfs_no_T,0.107599,13
alpha,salamandra-2b,rmfs_no_L,-0.034924,13
alpha,salamandra-2b,rmfs_no_K,0.081769,13
alpha,salamandra-2b,component_mean,0.022897,13
alpha,salamandra-7b,q_T,-0.024364,13
alpha,salamandra-7b,q_L,0.158904,13
alpha,salamandra-7b,q_K,-0.048783,13
alpha,salamandra-7b,rmfs_tau_0.025,0.012572,13
alpha,salamandra-7b,rmfs_tau_0.05,0.014312,13
alpha,salamandra-7b,rmfs_tau_0.1,0.015909,13
alpha,salamandra-7b,rmfs_tau_0.2,0.010988,13
alpha,salamandra-7b,rmfs_tau_0.5,0.004699,13
alpha,salamandra-7b,rmfs_tau_1,0.002694,13
alpha,salamandra-7b,rmfs_no_T,0.072805,13
alpha,salamandra-7b,rmfs_no_L,-0.049904,13
alpha,salamandra-7b,rmfs_no_K,0.056402,13
alpha,salamandra-7b,component_mean,0.001604,13
r_content,OLMo-2-0425-1B,q_T,0.129349,3
r_content,OLMo-2-0425-1B,q_L,0.560923,3
r_content,OLMo-2-0425-1B,q_K,0.053675,3
r_content,OLMo-2-0425-1B,rmfs_tau_0.025,0.171917,3
r_content,OLMo-2-0425-1B,rmfs_tau_0.05,0.186451,3
r_content,OLMo-2-0425-1B,rmfs_tau_0.1,0.236772,3
r_content,OLMo-2-0425-1B,rmfs_tau_0.2,0.312271,3
r_content,OLMo-2-0425-1B,rmfs_tau_0.5,0.369445,3
r_content,OLMo-2-0425-1B,rmfs_tau_1,0.371425,3
r_content,OLMo-2-0425-1B,rmfs_no_T,0.362088,3
r_content,OLMo-2-0425-1B,rmfs_no_L,0.203588,3
r_content,OLMo-2-0425-1B,rmfs_no_K,0.168065,3
r_content,OLMo-2-0425-1B,component_mean,0.352595,3
r_content,Qwen3-0.6B-Base,q_T,-0.422056,3
r_content,Qwen3-0.6B-Base,q_L,0.891848,3
r_content,Qwen3-0.6B-Base,q_K,0.557341,3
r_content,Qwen3-0.6B-Base,rmfs_tau_0.025,0.500570,3
r_content,Qwen3-0.6B-Base,rmfs_tau_0.05,0.522043,3
r_content,Qwen3-0.6B-Base,rmfs_tau_0.1,0.561354,3
r_content,Qwen3-0.6B-Base,rmfs_tau_0.2,0.619628,3
r_content,Qwen3-0.6B-Base,rmfs_tau_0.5,0.632461,3
r_content,Qwen3-0.6B-Base,rmfs_tau_1,0.634061,3
r_content,Qwen3-0.6B-Base,rmfs_no_T,0.750556,3
r_content,Qwen3-0.6B-Base,rmfs_no_L,0.478581,3
r_content,Qwen3-0.6B-Base,rmfs_no_K,0.158437,3
r_content,Qwen3-0.6B-Base,component_mean,0.631199,3
r_content,Qwen3-1.7B-Base,q_T,-0.417982,3
r_content,Qwen3-1.7B-Base,q_L,0.884666,3
r_content,Qwen3-1.7B-Base,q_K,0.610063,3
r_content,Qwen3-1.7B-Base,rmfs_tau_0.025,0.533201,3
r_content,Qwen3-1.7B-Base,rmfs_tau_0.05,0.566087,3
r_content,Qwen3-1.7B-Base,rmfs_tau_0.1,0.634187,3
r_content,Qwen3-1.7B-Base,rmfs_tau_0.2,0.691464,3
r_content,Qwen3-1.7B-Base,rmfs_tau_0.5,0.697114,3
r_content,Qwen3-1.7B-Base,rmfs_tau_1,0.691637,3
r_content,Qwen3-1.7B-Base,rmfs_no_T,0.800903,3
r_content,Qwen3-1.7B-Base,rmfs_no_L,0.514879,3
r_content,Qwen3-1.7B-Base,rmfs_no_K,0.084825,3
r_content,Qwen3-1.7B-Base,component_mean,0.683820,3
r_content,Qwen3-4B-Base,q_T,-0.293444,3
r_content,Qwen3-4B-Base,q_L,0.813647,3
r_content,Qwen3-4B-Base,q_K,0.601111,3
r_content,Qwen3-4B-Base,rmfs_tau_0.025,0.540469,3
r_content,Qwen3-4B-Base,rmfs_tau_0.05,0.560409,3
r_content,Qwen3-4B-Base,rmfs_tau_0.1,0.610866,3
r_content,Qwen3-4B-Base,rmfs_tau_0.2,0.631210,3
r_content,Qwen3-4B-Base,rmfs_tau_0.5,0.605809,3
r_content,Qwen3-4B-Base,rmfs_tau_1,0.585970,3
r_content,Qwen3-4B-Base,rmfs_no_T,0.755344,3
r_content,Qwen3-4B-Base,rmfs_no_L,0.518246,3
r_content,Qwen3-4B-Base,rmfs_no_K,0.166954,3
r_content,Qwen3-4B-Base,component_mean,0.566420,3
