model,layer,native_share_q50,native_fraction_language_heavy_by,native_gini_ss_language,native_top5_ss_language_fraction,sweep16_share_q50,sweep16_fraction_language_heavy_by,sweep16_gini_ss_language,sweep16_top5_ss_language_fraction,delta_share_q50,delta_fraction_language_heavy_by,delta_gini_ss_language,delta_top5_ss_language_fraction
OLMo-2-0425-1B,16,0.9024143106582864,1.0,0.905948798256164,0.8719722405736638,0.9708541358601949,1.0,0.4392688737354543,0.22388395027265157,0.0684398252019085,0.0,-0.4666799245207097,-0.6480882903010123
OLMo-2-1124-7B,0,0.9538453834824068,1.0,0.3420644883925188,0.158821514250403,0.953941315688392,1.0,0.3255424987387353,0.14336716781877423,9.593220598524965e-05,0.0,-0.016521989653783486,-0.015454346431628768
OLMo-2-1124-7B,8,0.8535726513331301,1.0,0.412827923711792,0.2646438632725235,0.8544173653420023,1.0,0.31223473221584763,0.14068125738853848,0.0008447140088722049,0.0,-0.10059319149594437,-0.123962605883985
OLMo-2-1124-7B,12,0.7442056249705727,1.0,0.4627365576894206,0.3147759483986891,0.7484796263785098,1.0,0.337005454263756,0.15254278003638994,0.0042740014079371,0.0,-0.12573110342566463,-0.16223316836229917
OLMo-2-1124-7B,24,0.8811985915702362,1.0,0.3471191659319366,0.1993779197927243,0.866764697652109,1.0,0.26271262571378273,0.11665798785198427,-0.014433893918127216,0.0,-0.08440654021815386,-0.08271993194074002
OLMo-2-1124-7B,32,0.8672282896084631,1.0,0.8859116386321695,0.8504371012753769,0.9579872112534374,1.0,0.43464867836180926,0.2273796581453173,0.09075892164497434,0.0,-0.4512629602703602,-0.6230574431300595
Qwen3-0.6B-Base,0,0.8800868500963922,1.0,0.4182639271954893,0.2359524440686719,0.890305782329212,1.0,0.331774415534676,0.14735363814466723,0.010218932232819777,0.0,-0.08648951166081331,-0.08859880592400468
Qwen3-0.6B-Base,7,0.6292119473239187,1.0,0.997556984023247,0.9969831725598832,0.4112130911732117,1.0,0.7991509241886338,0.5347745262796952,-0.21799885615070702,0.0,-0.19840605983461324,-0.462208646280188
Qwen3-0.6B-Base,8,0.5865622124492249,1.0,0.9974261023989508,0.9966597444704932,0.41166267052536687,0.999609375,0.7900064078643914,0.5152234130186766,-0.17489954192385804,-0.0003906249999999778,-0.20741969453455944,-0.48143633145181663
Qwen3-0.6B-Base,21,0.8490257774647315,1.0,0.8755726529862147,0.8267716792676165,0.6599928095293918,1.0,0.6019936445541993,0.38572615033809454,-0.18903296793533975,0.0,-0.2735790084320153,-0.441045528929522
Qwen3-0.6B-Base,28,0.8871513677635171,1.0,0.9029877243900039,0.8767347292838046,0.9690433723942704,1.0,0.3971943699898957,0.1946801152066919,0.0818920046307533,0.0,-0.5057933544001081,-0.6820546140771127
Qwen3-1.7B-Base,0,0.868830776596004,1.0,0.3834357338850616,0.1950008286263104,0.8798329304460397,1.0,0.33367131819681617,0.14827563249877568,0.011002153850035667,0.0,-0.04976441568824541,-0.04672519612753473
Qwen3-1.7B-Base,7,0.6269593354495262,1.0,0.997339637118859,0.9966675542528712,0.41242327636451187,0.99951171875,0.8290456609431958,0.5965973683914692,-0.21453605908501433,-0.00048828125,-0.16829397617566322,-0.4000701858614021
Qwen3-1.7B-Base,13,0.5541541503709833,1.0,0.990542892651719,0.9814867389784621,0.42605920426843513,0.999609375,0.7824159167272754,0.5330829245167388,-0.12809494610254812,-0.0003906249999999778,-0.20812697592444362,-0.4484038144617233
Qwen3-1.7B-Base,21,0.8365680700902562,1.0,0.7361873720586207,0.6400131133823646,0.7631068666872025,1.0,0.44213574539811384,0.2550787767129315,-0.07346120340305373,0.0,-0.2940516266605069,-0.38493433666943305
Qwen3-1.7B-Base,28,0.899829781362104,1.0,0.9389144463804943,0.9279127471830815,0.9717392310656129,1.0,0.5025815640085505,0.2636299708150037,0.07190944970350888,0.0,-0.4363328823719438,-0.6642827763680778
Qwen3-4B-Base,0,0.8397619083645163,1.0,0.4347163468215681,0.2507554822191447,0.858035952275492,1.0,0.3350101232295787,0.14854299914866545,0.018274043910975757,0.0,-0.09970622359198944,-0.10221248307047923
Qwen3-4B-Base,9,0.5530829190935724,0.999609375,0.9955964119392917,0.9929788977136832,0.44338939647046854,0.9999218750000001,0.8245442785804121,0.5912369010865909,-0.10969352262310389,0.00031250000000004885,-0.1710521333588796,-0.4017419966270923
Qwen3-4B-Base,17,0.4126758219592606,0.996484375,0.9963800752713172,0.9924180432325146,0.44684357492482346,1.0,0.8411574681805432,0.637320954034348,0.03416775296556285,0.003515625000000022,-0.15522260709077407,-0.3550970891981666
Qwen3-4B-Base,27,0.8173602753461161,1.0,0.8950940126124005,0.8477726602625386,0.6678395479771114,1.0,0.7039584766313146,0.5440966200751884,-0.14952072736900468,0.0,-0.1911355359810859,-0.30367604018735017
Qwen3-4B-Base,36,0.8977281222380779,1.0,0.9196098859987464,0.8932208334348479,0.970067875497066,1.0,0.48315150282937297,0.25842053908765455,0.07233975325898812,0.0,-0.4364583831693734,-0.6348002943471933
Qwen3-8B-Base,0,0.8781872295299682,1.0,0.3888333615960782,0.22085537692341237,0.864497606923179,1.0,0.3243789663761122,0.1441811447989668,-0.013689622606789187,0.0,-0.06445439521996599,-0.07667423212444557
Qwen3-8B-Base,9,0.6034518279966878,1.0,0.9947136065152566,0.9918865317163721,0.4846915746869618,0.999951171875,0.8860860280450058,0.733165716661144,-0.11876025330972606,-4.882812499995559e-05,-0.10862757847025084,-0.25872081505522804
Qwen3-8B-Base,19,0.41389395285633424,0.996337890625,0.9938316135420822,0.9871772358914942,0.4686967143295432,0.999755859375,0.862867732139815,0.6860097623281611,0.05480276147320895,0.00341796875,-0.1309638814022671,-0.30116747356333307
Qwen3-8B-Base,27,0.8112363519112487,0.99951171875,0.8124704001223609,0.7371198016028871,0.710263055220777,1.0,0.5963665902131976,0.4292370585792787,-0.10097329669047161,0.00048828125,-0.21610380990916334,-0.30788274302360846
Qwen3-8B-Base,36,0.8883255899903274,1.0,0.9719465258793074,0.965596732914468,0.9762506731087923,1.0,0.6344452172608175,0.37599496855908454,0.08792508311846492,0.0,-0.3375013086184899,-0.5896017643553835
SmolLM2-1.7B,0,0.9626910914920469,1.0,0.4264680115705663,0.2531965681466388,0.9662461470841055,1.0,0.3275721542630962,0.14436178985844988,0.003555055592058598,0.0,-0.09889585730747008,-0.10883477828818894
SmolLM2-1.7B,6,0.9566201653136694,1.0,0.8302035932785437,0.7797932248136595,0.8729053660533322,1.0,0.5881508670124311,0.3815299980521805,-0.0837147992603372,0.0,-0.24205272626611252,-0.398263226761479
SmolLM2-1.7B,15,0.8793845155389658,1.0,0.9814981160597048,0.9749676297173228,0.6140626413094497,0.99990234375,0.8417680045769409,0.6555880044672462,-0.26532187422951614,-9.76562500000222e-05,-0.13973011148276393,-0.31937962525007657
