model,layer,sweeps,share_q50,fraction_language_heavy_by,gini_ss_language,top5_ss_language_fraction
Mistral-7B-v0.3,0,1,0.9313517496625213,1.0,0.34852947606349155,0.17022825513793366
Mistral-7B-v0.3,0,4,0.9321816646168333,1.0,0.3256590793905367,0.1477691248892775
Mistral-7B-v0.3,0,16,0.9321797813136289,1.0,0.30336478670166744,0.1322565795595923
Mistral-7B-v0.3,2,0,0.77812613468216,1.0,0.9989038448274108,0.9989178987415727
Mistral-7B-v0.3,2,1,0.7739673287113996,1.0,0.9987869027533168,0.9988687449053263
Mistral-7B-v0.3,2,4,0.7470537818772993,1.0,0.997672799973528,0.998431674816428
Mistral-7B-v0.3,2,16,0.43648868754507175,1.0,0.8878332170593323,0.7122210463280826
Mistral-7B-v0.3,8,0,0.7175954855133909,1.0,0.9800148186397607,0.9727672563102241
Mistral-7B-v0.3,8,1,0.7183726801492858,1.0,0.9788522914948183,0.9713006837581816
Mistral-7B-v0.3,8,4,0.7159596590587345,0.999951171875,0.9747795078203387,0.9667781786297572
Mistral-7B-v0.3,8,16,0.507188843429308,0.99970703125,0.8672182211680155,0.7145076818502861
Mistral-7B-v0.3,24,0,0.8894788949897497,1.0,0.5117459835232991,0.3959978570791171
Mistral-7B-v0.3,24,1,0.8876209904956978,1.0,0.5023392933723934,0.3854611608711383
Mistral-7B-v0.3,24,4,0.8802073533865895,1.0,0.47620298165030867,0.3542562466572348
Mistral-7B-v0.3,24,16,0.8361062659462808,1.0,0.35778496507995683,0.20755848507846775
Mistral-7B-v0.3,32,0,0.9150996170654924,1.0,0.8508601274115698,0.7654735621476473
Mistral-7B-v0.3,32,1,0.92060259583441,1.0,0.8330084338914899,0.729076128760528
Mistral-7B-v0.3,32,4,0.9401509361110314,1.0,0.7633216272448177,0.6216894288909263
Mistral-7B-v0.3,32,16,0.9680475709481191,1.0,0.42242868118938015,0.24989090696900357
OLMo-2-0425-1B,0,0,0.9580223152523569,1.0,0.3080299897527236,0.1331130600760792
OLMo-2-0425-1B,0,1,0.9581769654919103,1.0,0.3087873363133366,0.13356988582901558
OLMo-2-0425-1B,0,4,0.9578887557934654,1.0,0.309601333671205,0.13473988142778665
OLMo-2-0425-1B,0,16,0.9583371554197768,1.0,0.30614257001913786,0.13158537898138303
OLMo-2-0425-1B,4,0,0.926004425879324,1.0,0.3748522204841076,0.2139583464205966
OLMo-2-0425-1B,4,1,0.9250680416307245,1.0,0.3694563020898808,0.20703810190203736
OLMo-2-0425-1B,4,4,0.9235898716707618,1.0,0.3557039048601701,0.18838540965821746
OLMo-2-0425-1B,4,16,0.9222843206419945,1.0,0.3207311015911812,0.14476267405068122
OLMo-2-0425-1B,9,0,0.867599376485092,1.0,0.4557283698376787,0.3102547020080853
OLMo-2-0425-1B,9,1,0.864724299980862,1.0,0.4496880279555063,0.2988571339550582
OLMo-2-0425-1B,9,4,0.8615757169447162,1.0,0.42488786947245305,0.2655879775254968
OLMo-2-0425-1B,9,16,0.8534539204060243,1.0,0.3541505658085406,0.16954915148121638
OLMo-2-0425-1B,12,0,0.9146913834204508,1.0,0.3907792493624415,0.2435897482001162
OLMo-2-0425-1B,12,1,0.9139581805999232,1.0,0.381973988656115,0.23221893926698653
OLMo-2-0425-1B,12,4,0.9100616465052974,1.0,0.3596555017768589,0.20042601229501153
OLMo-2-0425-1B,12,16,0.8970425862636248,1.0,0.29389089282041053,0.1322190766215353
OLMo-2-0425-1B,16,0,0.9024143106582864,1.0,0.905948798256164,0.8719722405736638
OLMo-2-0425-1B,16,1,0.9082276755884455,1.0,0.8943491963279833,0.8528045063662871
OLMo-2-0425-1B,16,4,0.9259226370969114,1.0,0.8447405728402453,0.746103835545159
OLMo-2-0425-1B,16,16,0.9708541358601949,1.0,0.4392688737354543,0.22388395027265157
OLMo-2-1124-7B,0,0,0.9538453834824068,1.0,0.3420644883925188,0.158821514250403
OLMo-2-1124-7B,0,1,0.9540971088987407,1.0,0.33928734369631586,0.1567474154974538
OLMo-2-1124-7B,0,4,0.9540623740730536,1.0,0.3314144215167618,0.14870513040650554
OLMo-2-1124-7B,0,16,0.953941315688392,1.0,0.3255424987387353,0.14336716781877423
OLMo-2-1124-7B,8,0,0.8535726513331301,1.0,0.412827923711792,0.2646438632725235
OLMo-2-1124-7B,8,1,0.8535936343855598,1.0,0.4085655009184201,0.2586673699404014
OLMo-2-1124-7B,8,4,0.8533244749633658,1.0,0.38720105979786956,0.2274092315462802
OLMo-2-1124-7B,8,16,0.8544173653420023,1.0,0.31223473221584763,0.14068125738853848
OLMo-2-1124-7B,12,0,0.7442056249705727,1.0,0.4627365576894206,0.3147759483986891
OLMo-2-1124-7B,12,1,0.7447274852373031,1.0,0.45657956366156993,0.30681308047460526
OLMo-2-1124-7B,12,4,0.7459567351737965,1.0,0.42858487592985267,0.26720053754630363
OLMo-2-1124-7B,12,16,0.7484796263785098,1.0,0.337005454263756,0.15254278003638994
OLMo-2-1124-7B,24,0,0.8811985915702362,1.0,0.3471191659319366,0.1993779197927243
OLMo-2-1124-7B,24,1,0.8803016226449752,1.0,0.3382984653201707,0.18661431231520353
OLMo-2-1124-7B,24,4,0.8787209584147593,1.0,0.3115926122494927,0.15528439226276677
OLMo-2-1124-7B,24,16,0.866764697652109,1.0,0.26271262571378273,0.11665798785198427
OLMo-2-1124-7B,32,0,0.8672282896084631,1.0,0.8859116386321695,0.8504371012753769
OLMo-2-1124-7B,32,1,0.8728653828803324,1.0,0.8757861974556851,0.8339010516200146
OLMo-2-1124-7B,32,4,0.893216690959815,1.0,0.8286291083669461,0.7292367939589409
OLMo-2-1124-7B,32,16,0.9579872112534374,1.0,0.43464867836180926,0.2273796581453173
Qwen3-0.6B-Base,0,0,0.8800868500963922,1.0,0.4182639271954893,0.2359524440686719
Qwen3-0.6B-Base,0,1,0.8806173172854681,1.0,0.41015890915109543,0.22246683990587765
Qwen3-0.6B-Base,0,4,0.8843508648996921,1.0,0.3820168908566245,0.18118283396095367
Qwen3-0.6B-Base,0,16,0.890305782329212,1.0,0.331774415534676,0.14735363814466723
Qwen3-0.6B-Base,7,0,0.6292119473239187,1.0,0.997556984023247,0.9969831725598832
Qwen3-0.6B-Base,7,1,0.6450282836449873,0.9998046875,0.9968695973973649,0.9964532261479901
Qwen3-0.6B-Base,7,4,0.6747149761189914,0.9990234375,0.9925799068865373,0.9944735266467483
Qwen3-0.6B-Base,7,16,0.4112130911732117,1.0,0.7991509241886338,0.5347745262796952
Qwen3-0.6B-Base,8,0,0.5865622124492249,1.0,0.9974261023989508,0.9966597444704932
Qwen3-0.6B-Base,8,1,0.6031303684338479,0.999609375,0.9967862287946568,0.9960924970507528
Qwen3-0.6B-Base,8,4,0.6502004437143352,0.9998046875,0.9920477460363555,0.9938952373073304
Qwen3-0.6B-Base,8,16,0.41166267052536687,0.999609375,0.7900064078643914,0.5152234130186766
Qwen3-0.6B-Base,21,0,0.8490257774647315,1.0,0.8755726529862147,0.8267716792676165
Qwen3-0.6B-Base,21,1,0.8467971815502466,0.9998046875,0.8670345757399873,0.8147547504755561
Qwen3-0.6B-Base,21,4,0.8392187366424736,1.0,0.8370076352324851,0.7709889797620108
Qwen3-0.6B-Base,21,16,0.6599928095293918,1.0,0.6019936445541993,0.38572615033809454
Qwen3-0.6B-Base,28,0,0.8871513677635171,1.0,0.9029877243900039,0.8767347292838046
Qwen3-0.6B-Base,28,1,0.889049712209796,1.0,0.8897314689206393,0.8403452884494884
Qwen3-0.6B-Base,28,4,0.9077455739334862,1.0,0.8208937102048578,0.647695450861612
Qwen3-0.6B-Base,28,16,0.9690433723942704,1.0,0.3971943699898957,0.1946801152066919
Qwen3-1.7B-Base,0,0,0.868830776596004,1.0,0.3834357338850616,0.1950008286263104
Qwen3-1.7B-Base,0,1,0.8695299787923151,1.0,0.37784115147432856,0.1867328950274146
Qwen3-1.7B-Base,0,4,0.8740591937622453,1.0,0.35886354003490223,0.16375860537000947
Qwen3-1.7B-Base,0,16,0.8798329304460397,1.0,0.33367131819681617,0.14827563249877568
Qwen3-1.7B-Base,7,0,0.6269593354495262,1.0,0.997339637118859,0.9966675542528712
Qwen3-1.7B-Base,7,1,0.6377449024371984,1.0,0.996827815274689,0.9961451181509446
Qwen3-1.7B-Base,7,4,0.6645378683673474,1.0,0.9938291956896496,0.9946902065409706
Qwen3-1.7B-Base,7,16,0.41242327636451187,0.99951171875,0.8290456609431958,0.5965973683914692
Qwen3-1.7B-Base,13,0,0.5541541503709833,1.0,0.990542892651719,0.9814867389784621
Qwen3-1.7B-Base,13,1,0.5753099896151344,0.9998046875,0.9884285411348197,0.9789122654226052
Qwen3-1.7B-Base,13,4,0.6190299127467451,0.99990234375,0.9803997383817349,0.9724243703686278
Qwen3-1.7B-Base,13,16,0.42605920426843513,0.999609375,0.7824159167272754,0.5330829245167388
Qwen3-1.7B-Base,21,0,0.8365680700902562,1.0,0.7361873720586207,0.6400131133823646
Qwen3-1.7B-Base,21,1,0.8320008646779342,1.0,0.7210722766458545,0.6220602450742378
Qwen3-1.7B-Base,21,4,0.8225143168072823,1.0,0.6732461380295712,0.5563684364101285
Qwen3-1.7B-Base,21,16,0.7631068666872025,1.0,0.44213574539811384,0.2550787767129315
Qwen3-1.7B-Base,28,0,0.899829781362104,1.0,0.9389144463804943,0.9279127471830815
Qwen3-1.7B-Base,28,1,0.9007722827644647,1.0,0.9321031179206273,0.9186486484202124
Qwen3-1.7B-Base,28,4,0.9108498215449611,1.0,0.8927110872533731,0.8000460505198503
Qwen3-1.7B-Base,28,16,0.9717392310656129,1.0,0.5025815640085505,0.2636299708150037
Qwen3-4B-Base,0,0,0.8397619083645163,1.0,0.4347163468215681,0.2507554822191447
Qwen3-4B-Base,0,1,0.8409877192287085,1.0,0.4237373597201707,0.2327478305012202
Qwen3-4B-Base,0,4,0.8484513335169886,1.0,0.38889663420721376,0.19134079413491845
Qwen3-4B-Base,0,16,0.858035952275492,1.0,0.3350101232295787,0.14854299914866545
Qwen3-4B-Base,9,0,0.5530829190935724,0.999609375,0.9955964119392917,0.9929788977136832
Qwen3-4B-Base,9,1,0.569302011743476,0.999765625,0.9948329423512681,0.992061095090271
Qwen3-4B-Base,9,4,0.6128211507024247,0.9999218750000001,0.9909477696595003,0.9894041570414913
Qwen3-4B-Base,9,16,0.44338939647046854,0.9999218750000001,0.8245442785804121,0.5912369010865909
Qwen3-4B-Base,17,0,0.4126758219592606,0.996484375,0.9963800752713172,0.9924180432325146
Qwen3-4B-Base,17,1,0.4373939888427877,0.9966406250000001,0.9953539915054435,0.9910599693187965
Qwen3-4B-Base,17,4,0.5177258580191638,0.9985156249999999,0.9910251992939043,0.9868371357434981
Qwen3-4B-Base,17,16,0.44684357492482346,1.0,0.8411574681805432,0.637320954034348
Qwen3-4B-Base,27,0,0.8173602753461161,1.0,0.8950940126124005,0.8477726602625386
Qwen3-4B-Base,27,1,0.8160546322557197,0.9999218750000001,0.8884680291451627,0.8392428758114917
Qwen3-4B-Base,27,4,0.8082790949788443,1.0,0.8665385601017463,0.8136758392935521
Qwen3-4B-Base,27,16,0.6678395479771114,1.0,0.7039584766313146,0.5440966200751884
Qwen3-4B-Base,36,0,0.8977281222380779,1.0,0.9196098859987464,0.8932208334348479
Qwen3-4B-Base,36,1,0.8994483714158712,1.0,0.9119639665177127,0.8811312325585989
Qwen3-4B-Base,36,4,0.911927215323,1.0,0.8714776409232972,0.7823934269354865
Qwen3-4B-Base,36,16,0.970067875497066,1.0,0.48315150282937297,0.25842053908765455
Qwen3-8B-Base,0,0,0.8781872295299682,1.0,0.3888333615960782,0.22085537692341237
Qwen3-8B-Base,0,1,0.8776706750318457,1.0,0.38356381403084017,0.21194096793592818
Qwen3-8B-Base,0,4,0.874940084768611,0.999951171875,0.36565310298859915,0.1891159871675478
Qwen3-8B-Base,0,16,0.864497606923179,1.0,0.3243789663761122,0.1441811447989668
Qwen3-8B-Base,9,0,0.6034518279966878,1.0,0.9947136065152566,0.9918865317163721
Qwen3-8B-Base,9,1,0.612624021492404,1.0,0.9941066223282077,0.9909550833674592
Qwen3-8B-Base,9,4,0.6399350910025826,1.0,0.991346630047088,0.9882588756182656
Qwen3-8B-Base,9,16,0.4846915746869618,0.999951171875,0.8860860280450058,0.733165716661144
Qwen3-8B-Base,19,0,0.41389395285633424,0.996337890625,0.9938316135420822,0.9871772358914942
Qwen3-8B-Base,19,1,0.4317468730262838,0.997314453125,0.9924450842086342,0.984914958596977
Qwen3-8B-Base,19,4,0.49357197147561394,0.99873046875,0.9869548534338912,0.9786616360352998
Qwen3-8B-Base,19,16,0.4686967143295432,0.999755859375,0.862867732139815,0.6860097623281611
Qwen3-8B-Base,27,0,0.8112363519112487,0.99951171875,0.8124704001223609,0.7371198016028871
Qwen3-8B-Base,27,1,0.80802448862988,0.999560546875,0.8033865328195168,0.7244211736551746
Qwen3-8B-Base,27,4,0.7966724760669714,1.0,0.7748463016585729,0.6876279113167035
Qwen3-8B-Base,27,16,0.710263055220777,1.0,0.5963665902131976,0.4292370585792787
Qwen3-8B-Base,36,0,0.8883255899903274,1.0,0.9719465258793074,0.965596732914468
Qwen3-8B-Base,36,1,0.8890357369777316,1.0,0.9692153100530516,0.9626107546007034
Qwen3-8B-Base,36,4,0.8981537009062937,1.0,0.9530518192299056,0.9318439353120784
Qwen3-8B-Base,36,16,0.9762506731087923,1.0,0.6344452172608175,0.37599496855908454
SmolLM2-1.7B,0,0,0.9626910914920469,1.0,0.4264680115705663,0.2531965681466388
SmolLM2-1.7B,0,1,0.9636384132229356,1.0,0.4123301597101413,0.2364393180027371
SmolLM2-1.7B,0,4,0.9652920831962039,1.0,0.3798154616077288,0.1982226777521951
SmolLM2-1.7B,0,16,0.9662461470841055,1.0,0.3275721542630962,0.14436178985844988
SmolLM2-1.7B,6,0,0.9566201653136694,1.0,0.8302035932785437,0.7797932248136595
SmolLM2-1.7B,6,1,0.9560376233762092,1.0,0.8231278517159527,0.7676456358465227
SmolLM2-1.7B,6,4,0.9542596456254469,1.0,0.7977381431255772,0.7302843511730366
SmolLM2-1.7B,6,16,0.8729053660533322,1.0,0.5881508670124311,0.3815299980521805
SmolLM2-1.7B,15,0,0.8793845155389658,1.0,0.9814981160597048,0.9749676297173228
SmolLM2-1.7B,15,1,0.8789454134983522,1.0,0.9801683863641696,0.9731126760178007
SmolLM2-1.7B,15,4,0.8775057624117537,1.0,0.9751609350642948,0.9677890930850154
SmolLM2-1.7B,15,16,0.6140626413094497,0.99990234375,0.8417680045769409,0.6555880044672462
SmolLM2-1.7B,18,0,0.9393843192746545,1.0,0.8858577444706611,0.8555770164437737
SmolLM2-1.7B,18,1,0.9385218925675144,1.0,0.8829014812409545,0.8528800762475759
SmolLM2-1.7B,18,4,0.9329972898542114,0.99990234375,0.8741989646574323,0.8428810579370914
SmolLM2-1.7B,18,16,0.7470802546786164,0.99990234375,0.7322877012900472,0.5604309362107092
SmolLM2-1.7B,24,0,0.9533461674718404,1.0,0.8585627426520265,0.8104821323053377
