model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,mean_norm,44.77553844043394,44.77553844043394,44.77553844043394,positive-diagonal invariant after coordinate standardization,0.0,0.0,4.477653844043394e-05,PASS,44.77553844043394,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,concept_rank_covariance_entropy,103.42479712330974,103.42479712330974,103.42479712330974,positive-diagonal invariant after coordinate standardization,0.0,0.0,0.0001034257971233,PASS,103.42479712330974,0.0,0.0
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,concept_rank_singular_entropy,238.108862744449,238.10886316002012,238.10886316002012,positive-diagonal invariant after coordinate standardization,4.1557115082468965e-07,1.7452989582559406e-09,0.00023810986316,PASS,238.10886316002012,-4.155711224029801e-07,-1.7452988388915922e-09
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.25,standardized,concept_participation_ratio,42.69521387433856,42.69521387433855,42.69521387433855,positive-diagonal invariant after coordinate standardization,7.105427357601002e-15,1.6642210479408407e-16,4.269621387433855e-05,PASS,42.69521387433855,1.4210854715202004e-14,3.3284420958816815e-16
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,lfs_direct,0.429960907960809,0.4596389813696337,,empirical,,,,EMPIRICAL,0.4596389813696337,-0.029678073408824723,-0.06456822552427974
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,ss_language,1776328.0363198917,2131476.008653492,,empirical,,,,EMPIRICAL,2131476.008653492,-355147.9723336005,-0.16662067548109843
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,ss_concept,2355042.987023942,2505806.935238936,,empirical,,,,EMPIRICAL,2505806.935238936,-150763.9482149938,-0.06016582766006992
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,ss_residual,1113504.9692419765,1260938.2719920245,,empirical,,,,EMPIRICAL,1260938.2719920245,-147433.302750048,-0.11692348945609649
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,language_share_total,0.3386787483309271,0.3613760709607213,,empirical,,,,EMPIRICAL,0.3613760709607213,-0.02269732262979418,-0.06280803975053788
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,concept_share_total,0.4490178586401366,0.4248411247259712,,empirical,,,,EMPIRICAL,0.4248411247259712,0.024176733914165416,0.056907706215493535
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,residual_share_total,0.212303393028936,0.2137828043133074,,empirical,,,,EMPIRICAL,0.2137828043133074,-0.0014794112843714013,-0.006920160342752656
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,lfs_vc_reml,0.4582954025634865,0.488943224002119,,empirical,,,,EMPIRICAL,0.488943224002119,-0.030647821438632483,-0.0626817592189388
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,mexa_external,0.1669444444444444,0.198611111111111,,empirical,,,,EMPIRICAL,0.198611111111111,-0.03166666666666659,-0.15944055944055918
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,aar10,-0.053369853855787,-0.1121798717448104,,empirical,,,,EMPIRICAL,-0.1121798717448104,0.058810017889023396,0.5242475051389425
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,mean_alignment_margin,-0.0279921605403375,-0.0527737842508088,,empirical,,,,EMPIRICAL,-0.0527737842508088,0.024781623710471302,0.46958208630057646
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,linear_cka,0.7154787633306933,0.7163464619995622,,empirical,,,,EMPIRICAL,0.7163464619995622,-0.0008676986688689325,-0.0012112835267544923
EuroLLM-1.7B,14,13,300,2048,diagonal,diagonal_shrink_0.1,fraction=0.5,raw,cvp_within_raw,889.3712708374151,965.8321044181954,,empirical,,,,EMPIRICAL,965.8321044181954,-76.46083358078033,-0.07916576103756598
