model,preprocessing,metric,n_rank_levels,spearman_with_retained_rank,pvalue_descriptive
Mistral-7B-v0.3,standardized,aar10,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,mean_norm,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,ss_language,5,-0.9999999999999999,1.4042654220543602e-24
Mistral-7B-v0.3,standardized,ss_residual,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,aar10,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,cpres_shared_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,cvp_within_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,mean_norm,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,raw,ss_language,5,-0.35355339059327373,0.5594043441634877
OLMo-2-0425-1B,raw,ss_residual,5,-0.28867513459481287,0.6376180914006019
OLMo-2-0425-1B,standardized,aar10,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,mean_norm,5,-0.7,0.1881204043741873
OLMo-2-0425-1B,standardized,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,ss_language,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-0425-1B,standardized,ss_residual,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,aar10,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,cpres_shared_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,cvp_within_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,mean_norm,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,raw,ss_language,5,0.0,1.0
OLMo-2-1124-7B,raw,ss_residual,5,-0.35355339059327373,0.5594043441634877
OLMo-2-1124-7B,standardized,aar10,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,mean_norm,5,-0.8999999999999998,0.03738607346849874
OLMo-2-1124-7B,standardized,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,ss_language,5,-0.9999999999999999,1.4042654220543602e-24
OLMo-2-1124-7B,standardized,ss_residual,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,aar10,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,cpres_shared_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,cvp_within_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,linear_cka,5,0.6,0.28475697986529386
Qwen3-0.6B-Base,raw,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,mean_norm,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,raw,ss_language,5,-0.35909242322980395,0.5528147466433508
Qwen3-0.6B-Base,raw,ss_residual,5,0.7378647873726218,0.15461852312844926
Qwen3-0.6B-Base,standardized,aar10,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,mean_norm,5,-0.8999999999999998,0.03738607346849874
Qwen3-0.6B-Base,standardized,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,ss_language,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-0.6B-Base,standardized,ss_residual,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,aar10,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,cpres_shared_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,cvp_within_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,linear_cka,5,0.49999999999999994,0.3910022189557703
Qwen3-1.7B-Base,raw,mean_alignment_margin,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,mean_norm,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,mexa_external,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,residual_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,ss_concept,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,raw,ss_language,5,0.0,1.0
Qwen3-1.7B-Base,raw,ss_residual,5,0.6155870112510925,0.2689977701158222
Qwen3-1.7B-Base,standardized,aar10,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,concept_participation_ratio,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,concept_rank_covariance_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,concept_rank_singular_entropy,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,concept_share_total,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,cpres_shared_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,cvp_within_raw,5,0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,language_share_total,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,lfs_direct,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,lfs_vc_reml,5,-0.9999999999999999,1.4042654220543602e-24
Qwen3-1.7B-Base,standardized,linear_cka,5,-0.9999999999999999,1.4042654220543602e-24
