model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status,identity_value,delta_from_identity,fractional_change_over_abs_identity,retained_rank
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,mexa_external,0.0649999999999999,0.2719444444444444,,empirical,,,,EMPIRICAL,0.2719444444444444,-0.2069444444444445,-0.7609805924412669,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,aar10,-0.2240732619752337,-0.0748540880592878,,empirical,,,,EMPIRICAL,-0.0748540880592878,-0.1492191739159459,-1.9934672612370568,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,mean_alignment_margin,-0.1316128076698567,0.0091247774663549,,empirical,,,,EMPIRICAL,0.0091247774663549,-0.1407375851362116,-15.42367314218266,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,linear_cka,0.6080070631674956,0.5702637971978378,,empirical,,,,EMPIRICAL,0.5702637971978378,0.037743265969657824,0.06618562524067051,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,cvp_within_raw,1489.8310754696656,1607.0482969468171,,empirical,,,,EMPIRICAL,1607.0482969468171,-117.2172214771515,-0.07293945160195184,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,cpres_shared_raw,213.66859912144963,441.9095298135362,,empirical,,,,EMPIRICAL,441.9095298135362,-228.24093069208658,-0.516487912782494,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,mean_norm,54.27400317316051,54.06329425749751,,empirical,,,,EMPIRICAL,54.06329425749751,0.2107089156629982,0.0038974486952166633,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,concept_rank_covariance_entropy,6.941524888073463,78.94727688093006,,empirical,,,,EMPIRICAL,78.94727688093006,-72.0057519928566,-0.912073916133386,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,concept_rank_singular_entropy,8.470345617071033,234.0380442906506,,empirical,,,,EMPIRICAL,234.0380442906506,-225.56769867357957,-0.9638078260192956,9
Falcon3-7B-Base,13,13,300,3072,rank,concept_main_effect_projection,rank=9,standardized,concept_participation_ratio,5.419419364019328,24.80236478174264,,empirical,,,,EMPIRICAL,24.80236478174264,-19.382945417723313,-0.7814958609104631,9
