model,layer,n_languages,n_concepts,raw_lfs,depth_from_layer0,analytic_null,excess_over_null,var_language_share_total,var_concept_share_total,residual_share_total
Qwen3-4B-Base,14,128,300,0.67802366358159,0.23846452809621144,0.2981220657276995,0.37990159785389055,0.41903449526165387,0.19898891272406066,0.38197659201428547
Qwen3-4B-Base,15,128,300,0.6473206103529167,0.26916758132488483,0.2981220657276995,0.34919854462521716,0.3877268844604289,0.2112450596725437,0.4010280558670274
Qwen3-4B-Base,16,128,300,0.6342529764137504,0.28223521526405104,0.2981220657276995,0.33613091068605094,0.3715930946424358,0.2142821136120536,0.41412479174551065
Qwen3-4B-Base,17,128,300,0.6021659497547868,0.3143222419230147,0.2981220657276995,0.30404388402708726,0.3492575949399081,0.23074463713935894,0.41999776792073296
Qwen3-4B-Base,18,128,300,0.6039473705733437,0.3125408211044578,0.2981220657276995,0.3058253048456442,0.3521138240433671,0.2309068847132517,0.4169792912433812
Qwen3-4B-Base,19,128,300,0.612195653848915,0.30429253782888654,0.2981220657276995,0.31407358812121544,0.3587860871836845,0.22727832691003277,0.41393558590628277
Qwen3-4B-Base,20,128,300,0.6595465551159707,0.2569416365618308,0.2981220657276995,0.3614244893882712,0.39852351139918385,0.20571512544595877,0.39576136315485744
Qwen3-4B-Base,21,128,300,0.7121720599146797,0.2043161317631218,0.2981220657276995,0.4140499941869802,0.4525545889123855,0.18290222606938014,0.3645431850182344
Qwen3-4B-Base,22,128,300,0.7475681158622881,0.16892007581551338,0.2981220657276995,0.4494460501345886,0.48773508805332944,0.16469387153485163,0.3475710404118189
Qwen3-4B-Base,23,128,300,0.7679347604110235,0.148553431266778,0.2981220657276995,0.469812694683324,0.5094474301116095,0.1539519318848924,0.3366006380034981
Qwen3-4B-Base,24,128,300,0.8284647451233,0.08802344655450145,0.2981220657276995,0.5303426793956005,0.5992311474391702,0.12407198762662779,0.276696864934202
Qwen3-4B-Base,25,128,300,0.874368933091467,0.042119258586334474,0.2981220657276995,0.5762468673637675,0.6709575566939151,0.0964045158829782,0.23263792742310666
Qwen3-4B-Base,26,128,300,0.8895718027295533,0.026916388948248215,0.2981220657276995,0.5914497370018538,0.6921046168185486,0.0859153414297925,0.22198004175165892
Qwen3-4B-Base,27,128,300,0.9039583453075001,0.012529846370301412,0.2981220657276995,0.6058362795798006,0.71258961457645,0.07570955681296611,0.21170082861058395
Qwen3-4B-Base,28,128,300,0.9012506096365702,0.015237582041231268,0.2981220657276995,0.6031285439088707,0.7020613056357087,0.07692435953772771,0.22101433482656357
Qwen3-4B-Base,29,128,300,0.8986159276071357,0.017872264070665778,0.2981220657276995,0.6004938618794362,0.6964889504346946,0.0785796067066511,0.2249314428586543
Qwen3-4B-Base,30,128,300,0.9121740623682075,0.0043141293095939615,0.2981220657276995,0.614051996640508,0.7238054997327492,0.06968943680774896,0.20650506345950187
Qwen3-4B-Base,31,128,300,0.9068973030215208,0.00959088865628066,0.2981220657276995,0.6087752372938213,0.7063611120249749,0.07251551454738667,0.2211233734276384
Qwen3-4B-Base,32,128,300,0.92281168509462,-0.006323493416818482,0.2981220657276995,0.6246896193669205,0.7384993511420296,0.06177156335804848,0.19972908549992194
Qwen3-4B-Base,33,128,300,0.9353614168262807,-0.018873225148479222,0.2981220657276995,0.6372393510985812,0.7519585807673884,0.05196444539164907,0.19607697384096248
Qwen3-4B-Base,34,128,300,0.942229425402023,-0.025741233724221546,0.2981220657276995,0.6441073596743235,0.7499371388144159,0.04598062664322579,0.20408223454235833
Qwen3-4B-Base,35,128,300,0.9484188004434846,-0.0319306087656831,0.2981220657276995,0.6502967347157851,0.7520259233915046,0.04090007411071081,0.2070740024977846
Qwen3-4B-Base,36,128,300,0.9559483226002041,-0.039460130922402636,0.2981220657276995,0.6578262568725046,0.7806749124182972,0.035974789204528276,0.1833502983771745
Qwen3-8B-Base,0,128,300,0.9447237353042818,0.0,0.2981220657276995,0.6466016695765823,0.5446163880536194,0.03186578096715402,0.4235178309792265
Qwen3-8B-Base,1,128,300,0.9712739266199131,-0.0265501913156313,0.2981220657276995,0.6731518608922136,0.7392269393834314,0.021863129157769903,0.2389099314587987
Qwen3-8B-Base,2,128,300,0.95020992330354,-0.005486187999258263,0.2981220657276995,0.6520878575758405,0.6818755596603675,0.03572961677236233,0.2823948235672702
Qwen3-8B-Base,3,128,300,0.9382874394418694,0.0064362958624123445,0.2981220657276995,0.6401653737141699,0.6553057995503192,0.043100437178290395,0.3015937632713904
Qwen3-8B-Base,4,128,300,0.9206932144298343,0.02403052087444746,0.2981220657276995,0.6225711487021348,0.6202031447109494,0.05342313491252752,0.32637372037652307
