model,layer,n_languages,n_concepts,dimension,lfs_direct_standardized,mean_pairwise_cosine_raw,top_eigen_share_raw,coordinate_share_mean,coordinate_share_median,coordinate_share_gini,gaussian_null_mean,by_alpha,n_language_heavy_by,fraction_language_heavy_by,top_variance_fraction,overlap_with_top5_variance,fraction_significant_in_top5_variance,overlap_with_matched_top_variance,fraction_significant_in_matched_top_variance
OLMo-2-1124-7B,24,13,300,4096,0.8725537114579328,0.4071464557681678,0.152061314224203,0.866247212465918,0.8811985915702363,0.0419376545388623,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
OLMo-2-1124-7B,32,13,300,4096,0.8654070109256882,0.602939860220816,0.311021763143892,0.8517201683738629,0.8672282896084631,0.0546073203011556,0.0385852090032154,0.05,4096,1.0,0.05,205,0.050048828125,4096,1.0
Qwen3-0.6B-Base,0,13,300,1024,0.8730930472422505,0.2822978797487717,0.2632879443463785,0.8592898075182251,0.8800868500963923,0.0513357065074469,0.0385852090032154,0.05,1024,1.0,0.05,52,0.05078125,1024,1.0
Qwen3-0.6B-Base,7,13,300,1024,0.6431745842533322,0.9901568532697032,0.997263490761481,0.6209503641219136,0.6292119473239188,0.1560980103660518,0.0385852090032154,0.05,1024,1.0,0.05,52,0.05078125,1024,1.0
Qwen3-0.6B-Base,8,13,300,1024,0.6088355117370512,0.9889740325653946,0.9967445738677998,0.5811602458845511,0.5865622124492248,0.1799317267929541,0.0385852090032154,0.05,1024,1.0,0.05,52,0.05078125,1024,1.0
Qwen3-0.6B-Base,21,13,300,1024,0.8333847569308337,0.8824704471670859,0.8228241576451423,0.8220928826896113,0.8490257774647314,0.0734955419776695,0.0385852090032154,0.05,1024,1.0,0.05,52,0.05078125,1024,1.0
Qwen3-0.6B-Base,28,13,300,1024,0.8763529321916044,0.3120100993819904,0.2919397733993729,0.8644127898541516,0.887151367763517,0.0572404120368188,0.0385852090032154,0.05,1024,1.0,0.05,52,0.05078125,1024,1.0
Qwen3-1.7B-Base,0,13,300,2048,0.864641534130501,0.1603608363708224,0.2523158794005918,0.8507909004580251,0.8688307765960039,0.0533464841581932,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
Qwen3-1.7B-Base,7,13,300,2048,0.6346997630281737,0.983213664275471,0.9962796899862,0.6131177795448908,0.6269593354495262,0.1480466048127526,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
Qwen3-1.7B-Base,13,13,300,2048,0.5808205932178168,0.9433517996919066,0.9776919833356954,0.5539061624017161,0.5541541503709831,0.1875132853808743,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
Qwen3-1.7B-Base,21,13,300,2048,0.8180848682904561,0.765790354858075,0.5121690786237104,0.8056146955561,0.8365680700902562,0.0790021243983887,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
Qwen3-1.7B-Base,28,13,300,2048,0.8885773963331693,0.5250422226262715,0.5146500123412534,0.8796394673057569,0.8998297813621037,0.0487855889338784,0.0385852090032154,0.05,2048,1.0,0.05,103,0.05029296875,2048,1.0
Qwen3-4B-Base,0,13,300,2560,0.8374439691273802,0.2562957068334133,0.2395788411026494,0.8197148117372519,0.8397619083645163,0.0645352372735601,0.0385852090032154,0.05,2560,1.0,0.05,128,0.05,2560,1.0
Qwen3-4B-Base,9,13,300,2560,0.5801266474018719,0.9731525168846316,0.9907353474680062,0.5532094120293115,0.5530829190935725,0.1733702994543806,0.0385852090032154,0.05,2559,0.999609375,0.05,128,0.0500195388823759,2558,0.9996092223524814
Qwen3-4B-Base,17,13,300,2560,0.4561070964075558,0.9692536624731586,0.9873816288624976,0.4316948825779967,0.4126758219592604,0.2378334227128902,0.0385852090032154,0.05,2551,0.996484375,0.05,128,0.0501764014112112,2542,0.9964719717757742
Qwen3-4B-Base,27,13,300,2560,0.8043263490138753,0.8793967563779145,0.853779879439917,0.7918227570481521,0.817360275346116,0.0844720017093529,0.0385852090032154,0.05,2560,1.0,0.05,128,0.05,2560,1.0
