model,flores_code,mexa_shared,aar_shared,q_L,r_content,log_tokens,macro_family_g,script_g,fertility,acc_native,acc_trans,acc
TowerBase-7B,deu_Latn,0.13,-0.5476456224467353,0.3351161068083809,,11.552705133249123,Indo-European,Latn,1.3225588235294117,0.2302158273381295,0.32666666666666666,0.2784412470023981
TowerBase-7B,fra_Latn,0.08,-0.8672303864328835,0.3351161068083809,,11.504243358607456,Indo-European,Latn,1.2537352941176472,0.2577565632458234,0.31,0.28387828162291173
TowerBase-7B,spa_Latn,0.15666666666666668,-0.4325410546508136,0.3351161068083809,,11.572692346038526,Indo-European,Latn,1.2007941176470587,0.2545454545454545,0.30777777777777776,0.28116161616161617
TowerBase-7B,por_Latn,0.12,-0.3758650592520381,0.3351161068083809,,11.136535917638877,Indo-European,Latn,1.2411764705882353,0.2885662431941924,0.30333333333333334,0.29594978826376284
TowerBase-7B,ita_Latn,0.14,-0.30983887452330505,0.3351161068083809,,11.218657350111846,Indo-European,Latn,1.2658764705882353,0.2664233576642336,0.31666666666666665,0.29154501216545015
TowerBase-7B,nld_Latn,0.1,-0.5203159031990341,0.3351161068083809,,10.903264809073452,Indo-European,Latn,1.3371529411764707,0.3139745916515426,0.3055555555555556,0.3097650736035491
TowerBase-7B,swe_Latn,0.15333333333333332,-0.32081015862490414,0.3351161068083809,,10.585304823582218,Indo-European,Latn,1.4709764705882353,,0.30777777777777776,0.30777777777777776
TowerBase-7B,pol_Latn,0.013333333333333334,-0.5829468030587995,0.3351161068083809,,11.069183544489329,Balto-Slavic,Latn,1.8035588235294118,0.25547445255474455,0.3111111111111111,0.28329278183292783
TowerBase-7B,ces_Latn,0.03,-0.43404164679833446,0.3351161068083809,,10.755192300065602,Balto-Slavic,Latn,1.9043941176470587,,0.30666666666666664,0.30666666666666664
TowerBase-7B,ron_Latn,0.02666666666666667,-0.5853548708939313,0.3351161068083809,,10.598220789235437,Indo-European,Latn,1.5607,,0.2833333333333333,0.2833333333333333
TowerBase-7B,rus_Cyrl,0.016666666666666666,-0.8082183635402465,0.3351161068083809,,11.867586387163913,Balto-Slavic,Cyrl,1.9942470588235295,0.25905797101449274,0.3088888888888889,0.28397342995169084
TowerBase-7B,ukr_Cyrl,0.013333333333333334,-0.7151625869834192,0.3351161068083809,,10.582360317494818,Balto-Slavic,Cyrl,2.340729411764706,0.27090909090909093,0.31666666666666665,0.2937878787878788
TowerBase-7B,bul_Cyrl,0.01,-0.6723128133254971,0.3351161068083809,,10.360175858097726,Balto-Slavic,Cyrl,2.0901764705882355,0.2690909090909091,0.29,0.27954545454545454
TowerBase-7B,ell_Grek,0.0033333333333333335,-1.1097636318289825,0.3351161068083809,,10.634956550916772,Indo-European,other,3.2260705882352942,0.27717391304347827,0.2644444444444444,0.2708091787439614
TowerBase-7B,tur_Latn,0.01,-0.7029953388243181,0.3351161068083809,,10.808162253319553,Turkic,Latn,1.7084764705882354,0.23722627737226276,0.27555555555555555,0.25639091646390916
TowerBase-7B,arb_Arab,0.0033333333333333335,-1.1485530262419255,0.3351161068083809,,10.841073612355865,Afro-Asiatic,Arab,3.117952941176471,0.24456521739130435,0.2688888888888889,0.25672705314009664
TowerBase-7B,heb_Hebr,0.006666666666666667,-1.0649645257837248,0.3351161068083809,,9.693476506485494,Afro-Asiatic,other,4.055217647058823,0.24545454545454545,0.26555555555555554,0.2555050505050505
TowerBase-7B,pes_Arab,0.0033333333333333335,-1.1743834061133094,0.3351161068083809,,10.662263375070816,Indo-European,Arab,3.4424411764705884,0.2664233576642336,0.26555555555555554,0.2659894566098946
TowerBase-7B,hin_Deva,0.0,-1.3381448860545395,0.3351161068083809,,10.225085947081105,Indo-European,Deva,4.760605882352941,0.23948811700182815,0.27666666666666667,0.2580773918342474
TowerBase-7B,ben_Beng,0.0,-1.1993693833717394,0.3351161068083809,,9.981044874347496,Indo-European,other,6.026417647058824,0.25,0.2733333333333333,0.26166666666666666
