flores_code,model,fertility
kor_Hang,Qwen3-1.7B-Base,3.2567
kor_Hang,Qwen3-4B-Base,3.2567
kor_Hang,Qwen3-8B-Base,3.2567
lao_Laoo,Qwen3-0.6B-Base,5.355
lao_Laoo,Qwen3-1.7B-Base,5.355
lao_Laoo,Qwen3-4B-Base,5.355
lao_Laoo,Qwen3-8B-Base,5.355
lit_Latn,Qwen3-0.6B-Base,1.9958
lit_Latn,Qwen3-1.7B-Base,1.9958
lit_Latn,Qwen3-4B-Base,1.9958
lit_Latn,Qwen3-8B-Base,1.9958
lvs_Latn,Qwen3-0.6B-Base,2.1688
lvs_Latn,Qwen3-1.7B-Base,2.1688
lvs_Latn,Qwen3-4B-Base,2.1688
lvs_Latn,Qwen3-8B-Base,2.1688
mal_Mlym,Qwen3-0.6B-Base,6.2127
mal_Mlym,Qwen3-1.7B-Base,6.2127
mal_Mlym,Qwen3-4B-Base,6.2127
mal_Mlym,Qwen3-8B-Base,6.2127
mar_Deva,Qwen3-0.6B-Base,4.3906
mar_Deva,Qwen3-1.7B-Base,4.3906
mar_Deva,Qwen3-4B-Base,4.3906
mar_Deva,Qwen3-8B-Base,4.3906
mkd_Cyrl,Qwen3-0.6B-Base,2.0778
mkd_Cyrl,Qwen3-1.7B-Base,2.0778
mkd_Cyrl,Qwen3-4B-Base,2.0778
mkd_Cyrl,Qwen3-8B-Base,2.0778
mlt_Latn,Qwen3-0.6B-Base,1.9275
mlt_Latn,Qwen3-1.7B-Base,1.9275
mlt_Latn,Qwen3-4B-Base,1.9275
mlt_Latn,Qwen3-8B-Base,1.9275
mri_Latn,Qwen3-0.6B-Base,2.0077
mri_Latn,Qwen3-1.7B-Base,2.0077
mri_Latn,Qwen3-4B-Base,2.0077
mri_Latn,Qwen3-8B-Base,2.0077
mya_Mymr,Qwen3-0.6B-Base,7.053
mya_Mymr,Qwen3-1.7B-Base,7.053
mya_Mymr,Qwen3-4B-Base,7.053
mya_Mymr,Qwen3-8B-Base,7.053
nld_Latn,Qwen3-0.6B-Base,1.3473
nld_Latn,Qwen3-1.7B-Base,1.3473
nld_Latn,Qwen3-4B-Base,1.3473
nld_Latn,Qwen3-8B-Base,1.3473
nob_Latn,Qwen3-0.6B-Base,1.4828
nob_Latn,Qwen3-1.7B-Base,1.4828
nob_Latn,Qwen3-4B-Base,1.4828
nob_Latn,Qwen3-8B-Base,1.4828
npi_Deva,Qwen3-0.6B-Base,4.2745
npi_Deva,Qwen3-1.7B-Base,4.2745
npi_Deva,Qwen3-4B-Base,4.2745
npi_Deva,Qwen3-8B-Base,4.2745
npi_Latn^,Qwen3-0.6B-Base,4.2745
npi_Latn^,Qwen3-1.7B-Base,4.2745
npi_Latn^,Qwen3-4B-Base,4.2745
npi_Latn^,Qwen3-8B-Base,4.2745
nso_Latn,Qwen3-0.6B-Base,1.7231
nso_Latn,Qwen3-1.7B-Base,1.7231
nso_Latn,Qwen3-4B-Base,1.7231
nso_Latn,Qwen3-8B-Base,1.7231
nya_Latn,Qwen3-0.6B-Base,1.767
nya_Latn,Qwen3-1.7B-Base,1.767
nya_Latn,Qwen3-4B-Base,1.767
nya_Latn,Qwen3-8B-Base,1.767
pan_Guru,Qwen3-0.6B-Base,6.8486
pan_Guru,Qwen3-1.7B-Base,6.8486
pan_Guru,Qwen3-4B-Base,6.8486
pan_Guru,Qwen3-8B-Base,6.8486
pbt_Arab,Qwen3-0.6B-Base,2.9847
pbt_Arab,Qwen3-1.7B-Base,2.9847
pbt_Arab,Qwen3-4B-Base,2.9847
pbt_Arab,Qwen3-8B-Base,2.9847
pes_Arab,Qwen3-0.6B-Base,2.6158
pes_Arab,Qwen3-1.7B-Base,2.6158
pes_Arab,Qwen3-4B-Base,2.6158
pes_Arab,Qwen3-8B-Base,2.6158
plt_Latn,Qwen3-0.6B-Base,1.752
plt_Latn,Qwen3-1.7B-Base,1.752
plt_Latn,Qwen3-4B-Base,1.752
plt_Latn,Qwen3-8B-Base,1.752
pol_Latn,Qwen3-0.6B-Base,1.7446
pol_Latn,Qwen3-1.7B-Base,1.7446
pol_Latn,Qwen3-4B-Base,1.7446
pol_Latn,Qwen3-8B-Base,1.7446
por_Latn,Qwen3-0.6B-Base,1.286
por_Latn,Qwen3-1.7B-Base,1.286
por_Latn,Qwen3-4B-Base,1.286
por_Latn,Qwen3-8B-Base,1.286
ron_Latn,Qwen3-0.6B-Base,1.5856
ron_Latn,Qwen3-1.7B-Base,1.5856
ron_Latn,Qwen3-4B-Base,1.5856
ron_Latn,Qwen3-8B-Base,1.5856
rus_Cyrl,Qwen3-0.6B-Base,1.6852
rus_Cyrl,Qwen3-1.7B-Base,1.6852
rus_Cyrl,Qwen3-4B-Base,1.6852
rus_Cyrl,Qwen3-8B-Base,1.6852
sin_Latn^,Qwen3-0.6B-Base,6.5211
sin_Latn^,Qwen3-1.7B-Base,6.5211
sin_Latn^,Qwen3-4B-Base,6.5211
sin_Latn^,Qwen3-8B-Base,6.5211
sin_Sinh,Qwen3-0.6B-Base,6.5211
sin_Sinh,Qwen3-1.7B-Base,6.5211
sin_Sinh,Qwen3-4B-Base,6.5211
sin_Sinh,Qwen3-8B-Base,6.5211
slk_Latn,Qwen3-0.6B-Base,1.9416
slk_Latn,Qwen3-1.7B-Base,1.9416
slk_Latn,Qwen3-4B-Base,1.9416
slk_Latn,Qwen3-8B-Base,1.9416
slv_Latn,Qwen3-0.6B-Base,1.791
slv_Latn,Qwen3-1.7B-Base,1.791
slv_Latn,Qwen3-4B-Base,1.791
slv_Latn,Qwen3-8B-Base,1.791
som_Latn,Qwen3-0.6B-Base,1.7642
som_Latn,Qwen3-1.7B-Base,1.7642
som_Latn,Qwen3-4B-Base,1.7642
som_Latn,Qwen3-8B-Base,1.7642
spa_Latn,Qwen3-0.6B-Base,1.2347
spa_Latn,Qwen3-1.7B-Base,1.2347
spa_Latn,Qwen3-4B-Base,1.2347
spa_Latn,Qwen3-8B-Base,1.2347
srp_Cyrl,Qwen3-0.6B-Base,2.2577
srp_Cyrl,Qwen3-1.7B-Base,2.2577
srp_Cyrl,Qwen3-4B-Base,2.2577
srp_Cyrl,Qwen3-8B-Base,2.2577
ssw_Latn,Qwen3-0.6B-Base,1.8211
ssw_Latn,Qwen3-1.7B-Base,1.8211
ssw_Latn,Qwen3-4B-Base,1.8211
ssw_Latn,Qwen3-8B-Base,1.8211
swe_Latn,Qwen3-0.6B-Base,1.4982
swe_Latn,Qwen3-1.7B-Base,1.4982
swe_Latn,Qwen3-4B-Base,1.4982
swe_Latn,Qwen3-8B-Base,1.4982
swh_Latn,Qwen3-0.6B-Base,1.7453
swh_Latn,Qwen3-1.7B-Base,1.7453
swh_Latn,Qwen3-4B-Base,1.7453
swh_Latn,Qwen3-8B-Base,1.7453
tam_Taml,Qwen3-0.6B-Base,4.9487
tam_Taml,Qwen3-1.7B-Base,4.9487
tam_Taml,Qwen3-4B-Base,4.9487
tam_Taml,Qwen3-8B-Base,4.9487
tel_Telu,Qwen3-0.6B-Base,6.8005
tel_Telu,Qwen3-1.7B-Base,6.8005
tel_Telu,Qwen3-4B-Base,6.8005
tel_Telu,Qwen3-8B-Base,6.8005
tha_Thai,Qwen3-0.6B-Base,2.5147
tha_Thai,Qwen3-1.7B-Base,2.5147
tha_Thai,Qwen3-4B-Base,2.5147
tha_Thai,Qwen3-8B-Base,2.5147
tir_Ethi,Qwen3-0.6B-Base,5.7956
tir_Ethi,Qwen3-1.7B-Base,5.7956
tir_Ethi,Qwen3-4B-Base,5.7956
tir_Ethi,Qwen3-8B-Base,5.7956
tsn_Latn,Qwen3-0.6B-Base,1.7082
tsn_Latn,Qwen3-1.7B-Base,1.7082
tsn_Latn,Qwen3-4B-Base,1.7082
tsn_Latn,Qwen3-8B-Base,1.7082
tur_Latn,Qwen3-0.6B-Base,1.4769
tur_Latn,Qwen3-1.7B-Base,1.4769
tur_Latn,Qwen3-4B-Base,1.4769
tur_Latn,Qwen3-8B-Base,1.4769
ukr_Cyrl,Qwen3-0.6B-Base,2.3475
ukr_Cyrl,Qwen3-1.7B-Base,2.3475
ukr_Cyrl,Qwen3-4B-Base,2.3475
ukr_Cyrl,Qwen3-8B-Base,2.3475
urd_Arab,Qwen3-0.6B-Base,3.0968
urd_Arab,Qwen3-1.7B-Base,3.0968
urd_Arab,Qwen3-4B-Base,3.0968
urd_Arab,Qwen3-8B-Base,3.0968
urd_Latn^,Qwen3-0.6B-Base,3.0968
urd_Latn^,Qwen3-1.7B-Base,3.0968
urd_Latn^,Qwen3-4B-Base,3.0968
urd_Latn^,Qwen3-8B-Base,3.0968
uzn_Latn,Qwen3-0.6B-Base,1.8354
uzn_Latn,Qwen3-1.7B-Base,1.8354
uzn_Latn,Qwen3-4B-Base,1.8354
uzn_Latn,Qwen3-8B-Base,1.8354
vie_Latn,Qwen3-0.6B-Base,1.2567
vie_Latn,Qwen3-1.7B-Base,1.2567
vie_Latn,Qwen3-4B-Base,1.2567
vie_Latn,Qwen3-8B-Base,1.2567
wol_Latn,Qwen3-0.6B-Base,1.8405
wol_Latn,Qwen3-1.7B-Base,1.8405
wol_Latn,Qwen3-4B-Base,1.8405
wol_Latn,Qwen3-8B-Base,1.8405
xho_Latn,Qwen3-0.6B-Base,1.8378
xho_Latn,Qwen3-1.7B-Base,1.8378
xho_Latn,Qwen3-4B-Base,1.8378
xho_Latn,Qwen3-8B-Base,1.8378
yor_Latn,Qwen3-0.6B-Base,2.3489
yor_Latn,Qwen3-1.7B-Base,2.3489
yor_Latn,Qwen3-4B-Base,2.3489
yor_Latn,Qwen3-8B-Base,2.3489
zho_Hans,Qwen3-0.6B-Base,2.9106
zho_Hans,Qwen3-1.7B-Base,2.9106
zho_Hans,Qwen3-4B-Base,2.9106
zho_Hans,Qwen3-8B-Base,2.9106
zho_Hant,Qwen3-0.6B-Base,2.9106
zho_Hant,Qwen3-1.7B-Base,2.9106
zho_Hant,Qwen3-4B-Base,2.9106
zho_Hant,Qwen3-8B-Base,2.9106
zsm_Latn,Qwen3-0.6B-Base,1.3675
zsm_Latn,Qwen3-1.7B-Base,1.3675
zsm_Latn,Qwen3-4B-Base,1.3675
zsm_Latn,Qwen3-8B-Base,1.3675
zul_Latn,Qwen3-0.6B-Base,1.8048
zul_Latn,Qwen3-1.7B-Base,1.8048
zul_Latn,Qwen3-4B-Base,1.8048
zul_Latn,Qwen3-8B-Base,1.8048
afr_Latn,OLMo-2-0425-1B,1.503
afr_Latn,OLMo-2-1124-7B,1.503
als_Latn,OLMo-2-0425-1B,1.8829
als_Latn,OLMo-2-1124-7B,1.8829
amh_Ethi,OLMo-2-0425-1B,11.1132
amh_Ethi,OLMo-2-1124-7B,11.1132
arb_Arab,OLMo-2-0425-1B,3.274
arb_Arab,OLMo-2-1124-7B,3.274
arb_Latn,OLMo-2-0425-1B,3.274
arb_Latn,OLMo-2-1124-7B,3.274
azj_Latn,OLMo-2-0425-1B,2.2624
azj_Latn,OLMo-2-1124-7B,2.2624
ben_Beng,OLMo-2-0425-1B,5.6039
ben_Beng,OLMo-2-1124-7B,5.6039
ben_Latn^,OLMo-2-0425-1B,5.6039
ben_Latn^,OLMo-2-1124-7B,5.6039
bod_Tibt,OLMo-2-0425-1B,9.324
bod_Tibt,OLMo-2-1124-7B,9.324
bul_Cyrl,OLMo-2-0425-1B,2.3968
bul_Cyrl,OLMo-2-1124-7B,2.3968
cat_Latn,OLMo-2-0425-1B,1.4437
cat_Latn,OLMo-2-1124-7B,1.4437
ces_Latn,OLMo-2-0425-1B,2.0947
ces_Latn,OLMo-2-1124-7B,2.0947
dan_Latn,OLMo-2-0425-1B,1.4974
dan_Latn,OLMo-2-1124-7B,1.4974
deu_Latn,OLMo-2-0425-1B,1.318
deu_Latn,OLMo-2-1124-7B,1.318
ell_Grek,OLMo-2-0425-1B,4.0309
ell_Grek,OLMo-2-1124-7B,4.0309
eng_Latn,OLMo-2-0425-1B,1.0
eng_Latn,OLMo-2-1124-7B,1.0
est_Latn,OLMo-2-0425-1B,1.8058
est_Latn,OLMo-2-1124-7B,1.8058
eus_Latn,OLMo-2-0425-1B,1.6898
eus_Latn,OLMo-2-1124-7B,1.6898
fin_Latn,OLMo-2-0425-1B,1.7611
fin_Latn,OLMo-2-1124-7B,1.7611
fra_Latn,OLMo-2-0425-1B,1.3148
fra_Latn,OLMo-2-1124-7B,1.3148
gaz_Latn,OLMo-2-0425-1B,1.8327
gaz_Latn,OLMo-2-1124-7B,1.8327
guj_Gujr,OLMo-2-0425-1B,7.7429
guj_Gujr,OLMo-2-1124-7B,7.7429
hau_Latn,OLMo-2-0425-1B,1.8391
hau_Latn,OLMo-2-1124-7B,1.8391
heb_Hebr,OLMo-2-0425-1B,4.3273
heb_Hebr,OLMo-2-1124-7B,4.3273
hin_Deva,OLMo-2-0425-1B,4.461
hin_Deva,OLMo-2-1124-7B,4.461
hin_Latn^,OLMo-2-0425-1B,4.461
hin_Latn^,OLMo-2-1124-7B,4.461
hrv_Latn,OLMo-2-0425-1B,1.7596
hrv_Latn,OLMo-2-1124-7B,1.7596
hun_Latn,OLMo-2-0425-1B,1.9194
hun_Latn,OLMo-2-1124-7B,1.9194
hye_Armn,OLMo-2-0425-1B,8.4067
hye_Armn,OLMo-2-1124-7B,8.4067
ibo_Latn,OLMo-2-0425-1B,2.2544
ibo_Latn,OLMo-2-1124-7B,2.2544
ind_Latn,OLMo-2-0425-1B,1.3219
ind_Latn,OLMo-2-1124-7B,1.3219
isl_Latn,OLMo-2-0425-1B,2.054
isl_Latn,OLMo-2-1124-7B,2.054
ita_Latn,OLMo-2-0425-1B,1.3157
ita_Latn,OLMo-2-1124-7B,1.3157
jpn_Jpan,OLMo-2-0425-1B,4.7947
jpn_Jpan,OLMo-2-1124-7B,4.7947
kan_Knda,OLMo-2-0425-1B,8.0789
kan_Knda,OLMo-2-1124-7B,8.0789
kat_Geor,OLMo-2-0425-1B,8.3474
kat_Geor,OLMo-2-1124-7B,8.3474
kaz_Cyrl,OLMo-2-0425-1B,3.4673
kaz_Cyrl,OLMo-2-1124-7B,3.4673
khk_Cyrl,OLMo-2-0425-1B,3.5425
khk_Cyrl,OLMo-2-1124-7B,3.5425
khm_Khmr,OLMo-2-0425-1B,7.0834
khm_Khmr,OLMo-2-1124-7B,7.0834
kin_Latn,OLMo-2-0425-1B,1.8158
kin_Latn,OLMo-2-1124-7B,1.8158
kir_Cyrl,OLMo-2-0425-1B,3.2266
kir_Cyrl,OLMo-2-1124-7B,3.2266
kor_Hang,OLMo-2-0425-1B,4.6943
kor_Hang,OLMo-2-1124-7B,4.6943
lao_Laoo,OLMo-2-0425-1B,8.8648
lao_Laoo,OLMo-2-1124-7B,8.8648
lit_Latn,OLMo-2-0425-1B,2.157
lit_Latn,OLMo-2-1124-7B,2.157
lvs_Latn,OLMo-2-0425-1B,2.2351
lvs_Latn,OLMo-2-1124-7B,2.2351
mal_Mlym,OLMo-2-0425-1B,7.615
mal_Mlym,OLMo-2-1124-7B,7.615
mar_Deva,OLMo-2-0425-1B,4.7653
mar_Deva,OLMo-2-1124-7B,4.7653
mkd_Cyrl,OLMo-2-0425-1B,2.5146
mkd_Cyrl,OLMo-2-1124-7B,2.5146
mlt_Latn,OLMo-2-0425-1B,2.0819
mlt_Latn,OLMo-2-1124-7B,2.0819
mri_Latn,OLMo-2-0425-1B,2.0217
mri_Latn,OLMo-2-1124-7B,2.0217
mya_Mymr,OLMo-2-0425-1B,9.2193
mya_Mymr,OLMo-2-1124-7B,9.2193
nld_Latn,OLMo-2-0425-1B,1.3539
nld_Latn,OLMo-2-1124-7B,1.3539
nob_Latn,OLMo-2-0425-1B,1.4896
nob_Latn,OLMo-2-1124-7B,1.4896
npi_Deva,OLMo-2-0425-1B,4.5657
npi_Deva,OLMo-2-1124-7B,4.5657
npi_Latn^,OLMo-2-0425-1B,4.5657
npi_Latn^,OLMo-2-1124-7B,4.5657
nso_Latn,OLMo-2-0425-1B,1.7333
nso_Latn,OLMo-2-1124-7B,1.7333
nya_Latn,OLMo-2-0425-1B,1.7784
nya_Latn,OLMo-2-1124-7B,1.7784
pan_Guru,OLMo-2-0425-1B,7.3922
pan_Guru,OLMo-2-1124-7B,7.3922
pbt_Arab,OLMo-2-0425-1B,3.9141
pbt_Arab,OLMo-2-1124-7B,3.9141
pes_Arab,OLMo-2-0425-1B,3.2702
pes_Arab,OLMo-2-1124-7B,3.2702
plt_Latn,OLMo-2-0425-1B,1.7663
plt_Latn,OLMo-2-1124-7B,1.7663
pol_Latn,OLMo-2-0425-1B,1.8515
pol_Latn,OLMo-2-1124-7B,1.8515
por_Latn,OLMo-2-0425-1B,1.3109
por_Latn,OLMo-2-1124-7B,1.3109
ron_Latn,OLMo-2-0425-1B,1.6005
ron_Latn,OLMo-2-1124-7B,1.6005
rus_Cyrl,OLMo-2-0425-1B,2.2871
rus_Cyrl,OLMo-2-1124-7B,2.2871
sin_Latn^,OLMo-2-0425-1B,8.1866
sin_Latn^,OLMo-2-1124-7B,8.1866
sin_Sinh,OLMo-2-0425-1B,8.1866
sin_Sinh,OLMo-2-1124-7B,8.1866
slk_Latn,OLMo-2-0425-1B,1.9858
slk_Latn,OLMo-2-1124-7B,1.9858
slv_Latn,OLMo-2-0425-1B,1.803
slv_Latn,OLMo-2-1124-7B,1.803
som_Latn,OLMo-2-0425-1B,1.7769
som_Latn,OLMo-2-1124-7B,1.7769
spa_Latn,OLMo-2-0425-1B,1.2507
spa_Latn,OLMo-2-1124-7B,1.2507
srp_Cyrl,OLMo-2-0425-1B,2.743
srp_Cyrl,OLMo-2-1124-7B,2.743
ssw_Latn,OLMo-2-0425-1B,1.8344
ssw_Latn,OLMo-2-1124-7B,1.8344
swe_Latn,OLMo-2-0425-1B,1.5056
swe_Latn,OLMo-2-1124-7B,1.5056
swh_Latn,OLMo-2-0425-1B,1.7574
swh_Latn,OLMo-2-1124-7B,1.7574
tam_Taml,OLMo-2-0425-1B,6.1222
tam_Taml,OLMo-2-1124-7B,6.1222
tel_Telu,OLMo-2-0425-1B,7.9996
tel_Telu,OLMo-2-1124-7B,7.9996
tha_Thai,OLMo-2-0425-1B,4.0847
tha_Thai,OLMo-2-1124-7B,4.0847
tir_Ethi,OLMo-2-0425-1B,10.556
tir_Ethi,OLMo-2-1124-7B,10.556
tsn_Latn,OLMo-2-0425-1B,1.7207
tsn_Latn,OLMo-2-1124-7B,1.7207
tur_Latn,OLMo-2-0425-1B,1.7281
tur_Latn,OLMo-2-1124-7B,1.7281
ukr_Cyrl,OLMo-2-0425-1B,2.7664
ukr_Cyrl,OLMo-2-1124-7B,2.7664
urd_Arab,OLMo-2-0425-1B,4.2191
urd_Arab,OLMo-2-1124-7B,4.2191
urd_Latn^,OLMo-2-0425-1B,4.2191
urd_Latn^,OLMo-2-1124-7B,4.2191
uzn_Latn,OLMo-2-0425-1B,1.8888
uzn_Latn,OLMo-2-1124-7B,1.8888
vie_Latn,OLMo-2-0425-1B,2.1646
vie_Latn,OLMo-2-1124-7B,2.1646
wol_Latn,OLMo-2-0425-1B,1.8578
wol_Latn,OLMo-2-1124-7B,1.8578
xho_Latn,OLMo-2-0425-1B,1.8546
xho_Latn,OLMo-2-1124-7B,1.8546
yor_Latn,OLMo-2-0425-1B,3.0247
yor_Latn,OLMo-2-1124-7B,3.0247
zho_Hans,OLMo-2-0425-1B,4.8381
