flores_code,script,macro_family,log_tokens,token_source
uzn_Latn,Latn,Turkic,7.876511046298704,culturax
vie_Latn,Latn,Austroasiatic,10.743353922054286,culturax
war_Latn,Latn,Austronesian,,missing
wol_Latn,Latn,Atlantic-Congo,6.012057523016564,cc100_imputed
xho_Latn,Latn,Atlantic-Congo,7.158327295797228,cc100_imputed
yor_Latn,Latn,Atlantic-Congo,4.632892380992985,culturax
zho_Hans,Hans,Sino-Tibetan,11.356131798505956,culturax
zho_Hant,Hant,Sino-Tibetan,11.356131798505956,culturax
zsm_Latn,Latn,Austronesian,7.287263587861631,culturax
zul_Latn,Latn,Atlantic-Congo,6.117153839017618,cc100_imputed
