checkpoint,arm,seed,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
ckpt_armCS-B_s2000_seed1,CS-B_s2000,1,bd765fe613ecbfc16794f1290512cc70ba88f583dde81eb6bc739857476ba675,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3628227237925964,0.034981611263939935,-0.21494417142586775,0.86493587600498,0.8564147804866148,1.1540172838343776,False,0.6371772762074036,1595933.549593915,908759.5855618224,1488906.864844262,0.39962278385264305,0.22755398276287625,0.37282323338448076,13409.481508649267,9388.61945328629,6459.661515317527,4020.862055362978,177.42553148035012,47.293380664000885
ckpt_armCS-B_s2000_seed2,CS-B_s2000,2,a3ca92b37221bcbe52d73202cd35d8caa54f15f5fdf65d71292f5533e8962373,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3694958643187123,0.03603798290518836,-0.22704443401738902,0.8697668093942639,0.861176698551831,1.1651280774861024,False,0.6305041356812877,1570837.535831747,920561.7222149703,1502200.7419532817,0.39333872591940794,0.2305092453462967,0.3761520287342954,13484.377594879763,9440.822938794376,6432.156232950123,4043.554656085388,177.3602102955232,47.748717859561985
ckpt_armCS-B_seed0,CS-B,0,0118405f78d45fabcc12e30ba7afe823c90dcefac9eb3de94a2730f735acb196,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.356774787328784,0.03159988621463055,-0.21617431089218922,0.9368097598899927,0.9304684426239394,0.9982124772594351,True,0.643225212671216,1636326.6148802417,907613.8007711092,1449659.5843486506,0.4097372332933296,0.2272670775168041,0.3629956891898663,14523.773959278675,10200.447633709015,7206.455880425692,4323.326325569659,186.46459498623355,40.90826310133593
ckpt_armCS-B_seed1,CS-B,1,e2a42b56e938e3efe913d9e5281ec77094981c880c88266632836568a4dde395,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3661710298013584,0.03088734084107364,-0.2165479352152689,0.978915568116199,0.9791906702635124,0.9585694584810244,True,0.6338289701986416,1602894.325748552,926012.3685071648,1464693.3057442836,0.4013657666638,0.23187409067186612,0.36676014266433377,15176.558833255614,10734.5748634661,7307.672870599955,4441.983969789516,189.26461286754542,39.28363199396806
ckpt_armCS-B_seed2,CS-B,2,45defc4011c3ad2383ad022c3f103bd7c7a9870872579721440cfcd46e88c8ec,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3469251897652933,0.0293794758859769,-0.22215105600106644,0.9623471501640647,0.962423926392086,0.9735178037698344,True,0.6530748102347067,1685461.3425082236,895347.649194412,1412791.008297364,0.4220406005879967,0.22419562529908155,0.35376377411292165,14919.691358659802,10550.766058122854,7230.356951988312,4368.925300536948,188.28505069061853,39.89623788292984
ckpt_armCS-P25_s2000_seed0,CS-P25_s2000,0,c8b457133c296f8ae46c3c5f7007a21f872071062c3a727f3a4683128eb49f60,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3760599406189753,0.038834506936097545,-0.21172886186961826,0.8787537888861756,0.8693191052313443,1.0581280896642273,False,0.6239400593810247,1570367.202106159,946488.6696967039,1476744.1281971354,0.39322095405302476,0.23700136961556098,0.3697776763314143,13623.706692745403,9530.085711331312,6591.07759111056,4093.62098141409,179.38612377853352,43.363695879397554
ckpt_armCS-P25_s2000_seed1,CS-P25_s2000,1,acc31739c7fce0cc0be05e4d588cedaa5f96c7cd51459d4a248f15f20571bd93,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3833313017341867,0.040448197369263555,-0.2121268867918221,0.8946893137307697,0.8889880284937525,1.0651816659486444,False,0.6166686982658133,1542564.5470771326,958883.2342276587,1492152.21869521,0.38625915141154143,0.2401049765193455,0.3736358720691129,13870.76214698462,9745.710242544697,6674.330577620311,4125.051904439921,180.73380471284648,43.65276214637158
ckpt_armCS-P25_s2000_seed2,CS-P25_s2000,2,c987ea87fa6e266eb792c692e74104622fcb934b04d70e49f41588fa11077e7c,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.38654676718055025,0.03982260238157629,-0.2224468965567197,0.8931315608811567,0.8863411164484485,1.0707794994292856,False,0.6134532328194497,1535535.152772997,967565.4433647572,1490499.4038622447,0.3844989865717642,0.24227900725279383,0.373222006175442,13846.61161905368,9716.692936344589,6629.460927029408,4129.918682709092,179.79592577495268,43.88216986270493
ckpt_armCS-P25_seed0,CS-P25,0,83784e2d1f5b2eed1aceb3f289663615646a990619ccdb0c1c3a7471ac9668f7,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3745642145967194,0.03144798393855564,-0.2371149053011159,0.9517842862268505,0.9466655278165178,0.9453611305058938,True,0.6254357854032806,1592718.321117511,953855.3772367128,1447026.3016457758,0.39881768858110755,0.23884599790582756,0.3623363135130649,14755.930630756273,10378.011441095865,7328.012814426992,4377.919189660409,187.86711242190682,38.742334656732965
ckpt_armCS-P25_seed1,CS-P25,1,f7191c6eb906055c1319880565b0039e6df0de4a64acf4c97e5c4037edd20e3c,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.38270488717294004,0.032560122368335546,-0.23798530648385152,0.9705358619292328,0.9695011627770208,0.9243751523558404,True,0.61729511282706,1565911.7761539144,970819.4300635187,1456868.793782567,0.39210531253854025,0.24309380760805255,0.3648008798534072,15046.64456067272,10628.351686854472,7308.59909959164,4418.292873818244,189.5061902305963,37.88229740498647
