study,seed,arm,is_control,trained_lfs,trained_mexa,trained_aar10,heldout_lfs,heldout_mexa,heldout_aar10,cvp_vs_frozen,ppl_geomean_ratio_vs_control,context_trained,context_heldout,delta_mexa_vs_control,delta_aar10_vs_control,delta_context_trained_vs_control,delta_context_heldout_vs_control,checkpoint,profile_result_sha256,reference_grid_sha256,R1_concept_dominance,R2_mean_alignment_margin,R3_weak_language_tail,R4_within_concept_ratio,R4_shared_concept_ratio,R4_effective_rank_ratio,R4_passes_legacy_cvp_gate,lfs,ss_language,ss_concept,ss_residual,language_share_total,concept_share_total,residual_share_total,within_concept_spread,shared_concept_energy,language_energy,residual_energy,mean_vector_norm,effective_rank
original,1,E,0,0.1849816466444239,0.4155555555555555,-0.24156422695765892,0.22678349235539794,0.4962500000000001,-0.22209150370326824,0.8614766420141169,1.03999084632682,0.2847600301106771,0.5492637382613289,-0.003333333333333355,-0.14080366150786477,-0.005865630838606084,0.009962137540181604,ckpt_armE_seed1,b34ceb3e4ec7237023cc6629be812898df9bf814f9efc752c5c39dbe1ecd0a8f,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7238196938545995,-0.012163516823925573,-0.48850942702784733,0.8810700957922949,0.8699103880568956,3.0045165379942302,False,0.27618030614540046,721128.0307097273,1889948.9167177826,1382523.0525724888,0.18057092115127393,0.47324442025184876,0.3461846585968773,13659.617418023012,9536.567768349538,5936.287785931229,4123.049649673472,172.87768136220734,123.12965007813541
original,1,F,0,0.11908199663311117,0.4777777777777777,-0.23972448954979578,0.1761739587387235,0.5370833333333334,-0.24764836044050753,0.94682170040917,1.055393607762196,0.2969845586352878,0.5613404949506124,0.058888888888888824,-0.13896392410000163,0.0063588976860046165,0.022038894229465145,ckpt_armF_seed1,0784990cea67d2296a79d91f96465cf812bf548e3fcbbd29ac4cebccde8d419f,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7699160112045788,-0.011055504459020439,-0.5301559567203084,1.0027028521723673,0.9695104491835314,2.855333438235367,True,0.23008398879542122,603935.7723931321,2020913.4209599984,1368750.806646871,0.15122590454555587,0.5060380160657045,0.34273607938873957,15545.343565790332,10628.453490955479,3819.5330841463997,4916.890074834855,173.89054359358528,117.01590011583927
original,2,A,0,0.44456918453047795,0.4444444444444444,-0.09022118772069614,0.5001732209757385,0.5662499999999999,-0.09214922529645264,1.0,0.650617988651297,0.29948310057322186,0.5661796530087789,0.01888888888888879,1.9616136948258367e-05,0.01234212981330024,-0.001353067821926457,Qwen3-0.6B-Base,babeeddbc725dd6b3d817a0b53489570834f6123286e97ea57935c8b72cb5cdb,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.39092226392623697,0.040464773070830344,-0.19499514186792696,1.0,1.0,1.0,True,0.609077736073763,1464256.6155364735,939798.7764326446,1589544.6080308822,0.3666507951563685,0.23532621605384726,0.39802298878978415,15503.440059147299,10962.701330249902,7493.574007113291,4540.738728897399,190.97729061969892,40.981518497593264
original,2,B,1,0.46593763853459946,0.42555555555555563,-0.0902408038576444,0.519265590351778,0.5575,-0.0847578666289337,0.9619502222100111,1.0,0.2871409707599216,0.5675327208307054,0.0,0.0,0.0,0.0,ckpt_armB_seed2,689a3233b7a0de7919821c75a28a624d13a0d0e0055ba2a8d5c9de31ca2f0366,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3807563426900473,0.03563078389529097,-0.2136608536592445,0.9706662731235556,0.9693501062101478,1.0012596434448073,True,0.6192436573099527,1528046.8684664627,939555.1011757113,1525998.030357825,0.38262391538122575,0.23526519961330916,0.3821108850054651,15048.666382806945,10626.69569882787,7384.082723115295,4421.970683979075,188.00949246740035,41.03314059872701
original,2,C,0,0.35634104593369914,0.43,-0.12741669391592345,0.4456389285538831,0.5441666666666667,-0.1503624251927249,0.8901402853604103,1.022662776943892,0.290287635061476,0.5587523102760316,0.004444444444444362,-0.03717589005827905,0.0031466643015543583,-0.008780410554673823,ckpt_armC_seed2,32e1ca9bf706a8c3af8d5036e8989f1b30dfd3789214f1ac4f3b65351f7e7ec9,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.4435997439804298,0.02170942342494291,-0.27568435907435584,0.9484921013781916,0.9097539984589621,1.0735572635009536,True,0.5564002560195702,1306801.1782334414,1041869.8802275336,1644928.9415390238,0.32722385272271676,0.2608848858742823,0.41189126140300086,14704.890440291456,9973.361369106231,4377.248310062663,4731.529071185226,176.32961405175553,43.99600685238994
original,2,D,0,0.14040228454646475,0.5099999999999999,-0.16994568146765232,0.20928392280477567,0.5700000000000001,-0.17721752473153174,0.1890161670431832,1.102519192602658,0.30916345516840615,0.5801962892214457,0.08444444444444427,-0.07970487761000793,0.022022484408484533,0.012663568390740343,ckpt_armD_seed2,676a5959813efe833a12bbdae83944b114b354003b8ee009ee6b869f519f421b,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7498879234650857,0.020780067307754533,-0.42354525280308536,0.30735560114811183,0.2670587949084605,5.360438078843181,False,0.25011207653491424,637806.2715559774,1912275.5973094918,1443518.1311345317,0.15970709924779078,0.47883503538398725,0.361457865368222,4765.069139242936,2927.6858061979156,2018.6340308639753,1837.3833330450211,102.55327748441618,219.67889228331512
original,2,E,0,0.1670012424998229,0.4333333333333333,-0.2271916183332602,0.21466521791690107,0.5108333333333333,-0.2079273408280642,0.8511315074967067,1.073640179401705,0.2926805297533671,0.5573819173706903,0.007777777777777661,-0.1369508144756158,0.0055395589934454925,-0.010150803460015068,ckpt_armE_seed2,98790ffe08d736d3da8bcbab1752aaf35d4837273a9170e2c4e851e203ed9921,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.7379750767828037,-0.002611423214041992,-0.4582358544328382,0.8727570557806131,0.864082353865546,3.1115857924128765,False,0.26202492321719634,680107.0163675057,1915474.3810698476,1398018.6025626466,0.17029923286445955,0.47963601288808283,0.3500647542474576,13530.73670049261,9472.676770167287,6083.32705397092,4058.059930325326,173.65184905544098,127.5175107086167
original,2,F,0,0.10205484509282271,0.4777777777777778,-0.2324172475685676,0.16233517575549922,0.5491666666666667,-0.23725726089105592,0.9777977639287804,1.0784295014692251,0.29196304082870483,0.5563020123375786,0.05222222222222217,-0.1421764437109232,0.004822070068783213,-0.011230708493126795,ckpt_armF_seed2,78e9788341e331dc8fabf1218730708e8ea8a8d7a099ab7048cbb7c6215baef7,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.789448482285816,-0.007900130412115939,-0.5385011068896773,1.0217684008574084,1.0211580714620438,3.025796428215709,True,0.210551517714184,557136.1087903203,2088943.6480253595,1347520.2431843202,0.13950723877962748,0.5230728285319911,0.33741993268838144,15840.925157023621,11194.650948412373,4412.069595904419,4646.274208611246,180.9193477947715,124.0017322928737
wordalign,0,WA-A,0,0.44456918453047795,0.4444444444444444,-0.09022118772069614,0.5001732209757385,0.5662499999999999,-0.09214922529645264,1.0,0.5261733680113433,0.31241462151209515,0.4925253816445669,0.05444444444444446,0.00637085239092508,-0.012652489344278928,-0.01904197494188936,Qwen3-0.6B-Base,babeeddbc725dd6b3d817a0b53489570834f6123286e97ea57935c8b72cb5cdb,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.39092226392623697,0.040464773070830344,-0.19499514186792696,1.0,1.0,1.0,True,0.609077736073763,1464256.6155364735,939798.7764326446,1589544.6080308822,0.3666507951563685,0.23532621605384726,0.39802298878978415,15503.440059147299,10962.701330249902,7493.574007113291,4540.738728897399,190.97729061969892,40.981518497593264
wordalign,0,WA-B,1,0.49247464084169396,0.38999999999999996,-0.09659204011162122,0.5103701187199705,0.5420833333333334,-0.08518710464704782,1.0096717880136108,1.0,0.3250671108563741,0.5115673565864562,0.0,0.0,0.0,0.0,ckpt_armWA-B_seed0,523af05c62c9e635c23acdbe7e05463581826c48bb00b982f0e59f6171fd90e6,a673a1508d679ece31e54d8a2b3384898654eafe918a8f205172d2e02ddcac14,0.3724326053496875,0.035456227187210636,-0.19215716533369706,1.0120874348691604,1.0132307008646708,0.9422863433694835,True,0.6275673946503125,1587948.3889136035,942374.8918209313,1463276.7192654645,0.3976232944996003,0.23597127699843037,0.36640542850196933,15690.836881110175,11107.745552219167,7731.309885004095,4583.09132889101,192.813699915574,38.616325210826005
