model,model_family,language,flores_code,content,delta_matched,delta_mismatched,content_ci_lo,content_ci_hi,R_content,R_content_ci_lo,R_content_ci_hi,R_content_boot_valid_fraction,n_pairs,n_boot
OLMo-2-1124-13B,OLMo-2,zho-CN,zho_Hans,0.6052018201351166,0.6335334944725036,0.02833167433738707,0.5258904620707034,0.6870954834222793,0.6397218149577811,0.5763039135823553,0.6997417561619522,1.0,100,2000
OLMo-2-1124-13B,OLMo-2,zul,zul_Latn,0.4514701747894287,0.39377216339111326,-0.0576980113983155,0.36735866847634313,0.5557023911774157,0.4772214986913282,0.39803693587338823,0.5609737999841231,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,amh,amh_Ethi,0.09170260667800902,-0.035763149261474635,-0.12746575593948364,0.0433575928211211,0.14826966613531103,0.08739817830026295,0.041853928259931256,0.13751077106431586,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,arb,arb_Arab,0.4723354434967041,0.03973750829696653,-0.43259793519973755,0.4158946288228035,0.5293564919233321,0.4501644915417467,0.410206190421627,0.4900964087792247,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,aze-Latn,azj_Latn,0.255101363658905,0.11927299976348876,-0.13582836389541622,0.19824653565883638,0.31852795463800426,0.2431271615210018,0.1928047884152627,0.29574441312077576,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,ben,ben_Beng,0.08000461578369142,-0.013832318782806396,-0.0938369345664978,0.05256572943925861,0.1112255603075027,0.07624927936518396,0.0516930644266945,0.10282319324028781,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,ces,ces_Latn,0.5174473941326141,0.32398340106010437,-0.19346399307250978,0.42323613762855533,0.6202081387341022,0.49315893246308,0.41854130067222267,0.5676796663207677,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,deu,deu_Latn,0.6235401904582978,0.46566691279411315,-0.15787327766418457,0.5441091797947883,0.7028245948553085,0.5942718393426306,0.5454548404843663,0.6392387038808106,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,ell,ell_Grek,0.17006563901901245,0.15813449621200562,-0.011931142807006832,0.12411699140071869,0.22369243460893626,0.1620829285030146,0.11752039307457693,0.20819134630183037,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,eng,,1.0492507791519166,0.926127576828003,-0.12312320232391358,0.9418780494332313,1.1630964383780955,1.0,1.0,1.0,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,fas,pes_Arab,0.33817577600479126,0.11962716341018673,-0.21854861259460448,0.27579417437314985,0.4047187579870224,0.32230214427682424,0.2755955323536266,0.370055595192726,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,fra,fra_Latn,0.7101706719398498,0.4342745411396027,-0.2758961308002472,0.6210991830527782,0.8019986697733401,0.6768359729157059,0.629745205051364,0.7245953672639618,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,hau,hau_Latn,0.3224645245075226,0.2580058968067169,-0.06445862770080572,0.25389840218424803,0.3936910896897315,0.30732836316610856,0.25098328707690076,0.3653688416620051,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,heb,heb_Hebr,0.3011982297897339,0.01756260156631466,-0.2836356282234192,0.2456752182245254,0.3630495012998579,0.28706028699181424,0.24499707343850924,0.3281398051398757,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,hin,hin_Deva,0.16038480043411255,0.0870691347122192,-0.07331566572189332,0.12068840789794918,0.20375675916671745,0.1528564987711971,0.11766021028256465,0.18908726864878686,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,hye,hye_Armn,0.07428783416748043,-0.06416103124618534,-0.13844886541366577,0.036551419198512985,0.11796082109212873,0.07080083774398095,0.035644710200507634,0.10925666060246027,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,ind,ind_Latn,0.6436142408847809,0.3548886430263519,-0.28872559785842894,0.5545231074392796,0.7397999946475027,0.6134036339768062,0.5591630184256058,0.6685844429990311,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,ita,ita_Latn,0.6835333395004273,0.46267877459526063,-0.2208545649051667,0.596878819346428,0.7827780107259751,0.6514489701431628,0.5978292370020534,0.7064848134436738,1.0,100,2000
Qwen2.5-0.5B,Qwen2.5,jpn,jpn_Jpan,0.5905231404304504,0.29753109216690066,-0.2929920482635498,0.521459741294384,0.6647816700935364,0.5628045765262673,0.5189236008727169,0.605613524313189,1.0,100,2000
