model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,concept_rank_covariance_entropy,103.42479712330974,103.42479712330974,103.42479712330974,uniform-scale invariant after coordinate standardization,0.0,0.0,0.00010342579712330975,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,concept_rank_singular_entropy,238.10886316002015,238.10886316002015,238.10886316002015,uniform-scale invariant after coordinate standardization,0.0,0.0,0.00023810986316002012,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,1,standardized,concept_participation_ratio,42.69521387433855,42.69521387433855,42.69521387433855,uniform-scale invariant after coordinate standardization,0.0,0.0,4.269621387433855e-05,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,lfs_direct,0.4596389813696338,0.4596389813696337,0.4596389813696337,uniform-scale invariant,1.1102230246251565e-16,2.41542399497299e-16,4.6063898136963373e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,ss_language,1726495.567009329,2131476.0086534917,1726495.5670093284,quadratic in uniform scale,6.984919309616089e-10,4.04572096394983e-16,1.7264955680093284,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,ss_concept,2029703.6175435383,2505806.935238936,2029703.617543538,quadratic in uniform scale,2.3283064365386963e-10,1.1471164639084322e-16,2.029703618543538,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,ss_residual,1021360.0003135406,1260938.2719920243,1021360.0003135396,quadratic in uniform scale,9.313225746154785e-10,9.11845553310859e-16,1.0213600013135398,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,language_share_total,0.36137607096072133,0.36137607096072133,0.36137607096072133,uniform-scale invariant,0.0,0.0,3.623760709607213e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,concept_share_total,0.4248411247259711,0.42484112472597124,0.42484112472597124,uniform-scale invariant,1.6653345369377348e-16,3.9198995577744505e-16,4.2584112472597125e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.9,raw,residual_share_total,0.2137828043133076,0.21378280431330748,0.21378280431330748,uniform-scale invariant,1.1102230246251565e-16,5.193228838920454e-16,2.1478280431330746e-07,PASS
