model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y,alpha,s2,alpha_shrunk
Mistral-7B-v0.3,heb_Hebr,0.29333333333333333,Hebr,Afro-Asiatic,9.693476506485494,4.0468,0.6666666666666666,-0.012825463898479939,0.06191374361515045,Afro-Asiatic,other,-2.7916369172104756,-0.6940526603931141,0.4144802947415429,-0.00016741091390826035
bloom-1b7,amh_Ethi,0.2833333333333333,Ethi,Afro-Asiatic,8.5541337799261,7.2607,0.006666666666666667,-0.10007134079933167,-0.06266789883375168,Afro-Asiatic,other,-3.0680529351336174,2.0281730923700465,0.6671511627906979,0.0003039594691780875
bloom-1b7,som_Latn,0.19666666666666666,Latn,Afro-Asiatic,3.781970673912552,1.6694,0.25666666666666665,-0.1401718407869339,-0.018217017874121666,Afro-Asiatic,Latn,-4.304065093204169,1.7586618816042527,6.587837837837826,2.6695180285679514e-05
bloom-1b7,arb_Arab,0.26,Arab,Afro-Asiatic,10.841073612355865,1.2181,0.6566666666666666,-0.02078816294670105,0.04073580354452133,Afro-Asiatic,Arab,-4.304065093204169,-0.11881609301116214,6.587837837837826,-1.803539963806127e-06
bloom-1b7,arb_Latn,0.24666666666666667,Latn,Afro-Asiatic,10.841073612355865,1.2181,,,,Afro-Asiatic,Latn,-4.304065093204169,-0.30817161291235484,6.587837837837826,-4.677816020474864e-06
bloom-1b7,heb_Hebr,0.2733333333333333,Hebr,Afro-Asiatic,9.693476506485494,3.4849,0.043333333333333335,-0.09211020916700363,-0.045294102281332016,Afro-Asiatic,other,-3.4385849137337767,0.9422078876923448,1.2954034824939167,7.272908955343971e-05
bloom-7b1,amh_Ethi,0.24,Ethi,Afro-Asiatic,8.5541337799261,7.2607,0.01,-0.08592202514410019,-0.05201044678688049,Afro-Asiatic,other,-4.304065093204169,1.0329478340493132,6.587837837837826,1.5679380419038386e-05
bloom-7b1,som_Latn,0.20666666666666667,Latn,Afro-Asiatic,3.781970673912552,1.6694,0.09333333333333334,-0.12491628527641296,-0.037753619253635406,Afro-Asiatic,Latn,-4.304065093204169,1.9994487813540713,6.587837837837826,3.0350146462908126e-05
bloom-7b1,arb_Arab,0.26,Arab,Afro-Asiatic,10.841073612355865,1.2181,0.98,0.029168182983994484,0.17161861062049866,Afro-Asiatic,Arab,-4.304065093204169,0.12197080673865557,6.587837837837826,1.8514262134224736e-06
bloom-7b1,arb_Latn,0.22333333333333333,Latn,Afro-Asiatic,10.841073612355865,1.2181,,,,Afro-Asiatic,Latn,-4.304065093204169,-0.0673847131625358,6.587837837837826,-1.0228498432462431e-06
