model,flores_code,acc,script,macro_family,log_tokens,fertility,mexa,aar10,margin_mean,macro_family_g,script_g,y
EuroLLM-1.7B,tgk_Cyrl,0.27666666666666667,Cyrl,Indo-European,,,,,,Indo-European,Cyrl,-3.3004558118606235
EuroLLM-1.7B,urd_Latn,0.26666666666666666,,,,,,,,other,other,-3.7841896339182615
EuroLLM-1.7B,zsm_Latn,0.27,Latn,Austronesian,7.287263587861631,1.4229,0.16333333333333333,-0.08588430285453796,0.014556662179529667,Austronesian,Latn,-3.5973122605884447
EuroLLM-1.7B,arb_Arab,0.27,Arab,Afro-Asiatic,10.841073612355865,1.5275,0.9666666666666667,0.03245357424020767,0.1636241376399994,Afro-Asiatic,Arab,-3.5973122605884447
EuroLLM-1.7B,ben_Latn,0.25333333333333335,,,,,,,,other,other,-4.304065093204169
EuroLLM-1.7B,ell_Grek,0.26666666666666666,Grek,Indo-European,10.634956550916772,1.3918,0.9833333333333333,0.03312908113002777,0.1940521001815796,Indo-European,other,-3.7841896339182615
EuroLLM-1.7B,guj_Gujr,0.26,Gujr,Indo-European,9.053743034427566,10.1765,0.006666666666666667,-0.1419316828250885,-0.08941435068845749,Indo-European,other,-4.304065093204169
EuroLLM-1.7B,ibo_Latn,0.26666666666666666,Latn,Atlantic-Congo,,2.1052,0.04666666666666667,-0.151907280087471,-0.05762738361954689,Atlantic-Congo,Latn,-3.7841896339182615
EuroLLM-1.7B,kat_Geor,0.29,Geor,kartvelian,9.417907523376437,4.753,0.01,-0.1258040815591812,-0.06636357307434082,other,other,-2.876385515921425
EuroLLM-1.7B,lin_Latn,0.28,Latn,Atlantic-Congo,,,,,,Atlantic-Congo,Latn,-3.178053830347945
EuroLLM-1.7B,mri_Latn,0.27,Latn,Austronesian,,1.7361,0.03666666666666667,-0.13652284443378448,-0.047419603914022446,Austronesian,Latn,-3.5973122605884447
EuroLLM-1.7B,pan_Guru,0.2833333333333333,Guru,Indo-European,8.861860543889303,10.9248,0.0,-0.13443255424499512,-0.08515092730522156,Indo-European,other,-3.0680529351336174
EuroLLM-1.7B,shn_Mymr,0.26666666666666666,Mymr,Tai-Kadai,,,,,,Tai-Kadai,other,-3.7841896339182615
EuroLLM-1.7B,spa_Latn,0.27,Latn,Indo-European,11.572692346038526,1.0247,0.9866666666666667,0.06849431991577148,0.24911537766456604,Indo-European,Latn,-3.5973122605884447
EuroLLM-1.7B,tgl_Latn,0.2866666666666667,Latn,Austronesian,8.383970492667663,,,,,Austronesian,Latn,-2.9680807422234805
EuroLLM-1.7B,uzn_Latn,0.24666666666666667,Latn,Turkic,7.876511046298704,1.6324,0.04666666666666667,-0.17074473202228546,-0.060729485005140305,Turkic,Latn,-4.304065093204169
EuroLLM-1.7B,zul_Latn,0.2733333333333333,Latn,Atlantic-Congo,,1.6439,0.04666666666666667,-0.17068547010421753,-0.07517444342374802,Atlantic-Congo,Latn,-3.4385849137337767
EuroLLM-1.7B,arb_Latn,0.2633333333333333,Latn,Afro-Asiatic,10.841073612355865,1.5275,,,,Afro-Asiatic,Latn,-4.011868340397864
EuroLLM-1.7B,bod_Tibt,0.28,Tibt,Sino-Tibetan,,9.8607,0.0033333333333333335,-0.11611226946115494,-0.07272797077894211,Sino-Tibetan,other,-3.178053830347945
EuroLLM-1.7B,eng_Latn,0.27,Latn,Indo-European,12.454382979077453,1.0,,,,Indo-European,Latn,-3.5973122605884447
EuroLLM-1.7B,hat_Latn,0.25,Latn,Atlantic-Congo,4.418019405728941,,,,,Atlantic-Congo,Latn,-4.304065093204169
